1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
E1,T,F,0,M,T,0,0,M,F,F,0,T,0,0,M,T,T,0,T,0,T,0,0,F,T,T,T,0,M,T
E2,0,M,T,0,M,M,F,T,0,T,0,M,0,M,0,M,0,F,0,F,T,T,F,M,T,0,T,0,T,0
E3,F,0,F,0,M,0,T,T,0,T,T,0,0,T,0,0,0,T,0,0,0,T,F,M,0,M,M,0,F,M
E4,0,T,T,T,0,T,T,0,T,T,0,0,T,F,F,T,0,T,0,T,T,T,F,0,T,0,F,0,0,0
E5,T,T,T,T,T,0,M,0,T,T,T,F,T,T,F,T,0,F,M,0,0,M,M,T,0,0,T,0,0,F
E6,0,T,T,0,F,M,M,F,M,F,T,0,M,T,T,T,T,F,T,T,0,M,T,0,0,T,0,0,0,T
E7,T,0,T,T,0,T,T,0,0,M,T,T,0,F,0,F,M,T,0,T,0,T,0,T,T,F,0,F,0,T
E8,0,0,T,T,F,T,0,T,0,T,T,0,M,M,F,T,T,T,T,0,F,F,0,T,T,0,0,M,0,M
E9,T,0,M,0,M,0,T,F,0,0,T,0,0,0,F,0,F,M,M,T,T,0,T,0,T,F,M,0,M,0
E10,0,T,F,T,0,T,F,0,0,F,M,M,T,F,T,0,0,M,T,0,M,0,0,T,0,T,0,T,0,0
E11,T,F,0,T,0,M,0,T,T,0,T,0,F,F,0,M,M,0,M,T,0,0,T,0,F,T,T,0,M,M
E12,M,M,T,0,0,M,M,0,0,M,F,0,T,T,0,F,T,F,M,M,0,M,T,0,M,F,0,0,0,M
