Employee,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
E1,M_A,M_A,M_A,0,M_A,F,M_A,0,T_A,0,F,T_A,T_A,T_A,T_A,0,M_A,0,0,T_A,0,F,0,F,0,T_A,T_A,0,T_A,0
E2,T_A,T_A,T_A,0,F,0,T_A,T_A,0,T_A,T_A,0,T_A,0,F,M_A,0,M_A,M_A,M_A,M_A,0,M_A,T_A,T_A,T_A,F,0,F,0
E3,T_A,0,T_A,0,T_A,T_A,0,T_A,T_A,T_A,T_A,F,T_A,T_A,T_A,T_A,T_A,0,T_A,T_A,F,M_A,0,F,M_A,0,T_A,0,M_A,F
E4,M_A,T_A,0,0,M_A,T_A,0,0,M_A,T_A,0,T_A,0,T_A,T_A,F,M_A,F,0,T_A,F,F,0,T_A,0,0,M_A,0,M_A,T_A
E5,0,0,T_A,0,0,T_B,0,T_A,F,T_A,T_B,0,0,F,F,T_A,F,0,M_A,M_A,T_B,0,M_B,T_A,0,0,T_B,T_B,0,M_A
E6,M_A,0,T_A,0,T_A,T_A,F,M_B,M_A,0,M_A,F,T_A,F,T_A,T_B,0,T_B,T_A,0,T_A,F,0,0,T_A,0,M_A,M_B,T_B,T_B
E7,0,0,T_A,T_A,0,0,0,M_A,T_A,0,0,M_A,0,M_A,F,0,M_A,F,F,T_A,0,T_A,0,F,M_A,M_A,T_A,T_A,T_A,0
E8,0,M_A,F,0,0,0,T_A,T_A,0,F,T_A,T_A,0,F,M_A,M_A,T_A,0,T_A,0,M_A,0,M_A,0,0,M_A,T_A,0,M_A,F
E9,M_A,M_A,T_A,0,F,T_A,0,M_A,M_A,M_A,M_A,T_A,F,0,T_A,0,0,T_A,F,T_A,F,T_A,T_A,T_A,T_A,T_A,0,M_A,M_A,M_A
E10,M_B,0,0,T_B,F,T_B,T_B,T_B,0,0,T_B,0,0,M_B,M_B,M_B,M_B,M_B,0,F,F,0,M_B,M_B,M_B,0,T_B,F,M_B,M_B
E11,M_B,0,T_B,T_A,T_A,T_B,T_B,0,M_B,F,0,T_A,T_A,T_A,T_A,F,T_B,T_B,T_A,T_B,0,T_B,0,T_A,0,M_B,0,F,0,F
E12,T_B,T_B,0,M_B,T_B,0,M_B,M_B,0,F,T_B,0,M_B,T_B,T_B,T_B,0,M_B,F,M_B,F,0,0,0,T_B,F,T_B,0,T_B,T_B
