1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
E1,T,T,0,M,F,0,F,F,T,F,M,T,0,0,T,T,T,0,T,T,0,F,T,T,T,T,T,0,M,0
E2,M,M,M,M,M,0,0,F,0,0,T,0,0,0,0,M,0,0,F,M,F,M,F,M,F,T,T,0,T,T
E3,T,0,M,0,F,0,0,0,M,T,T,0,0,0,T,0,T,0,F,0,0,M,T,0,F,F,0,0,F,T
E4,M,F,F,0,M,T,0,0,0,M,0,0,M,F,T,F,T,T,T,T,0,0,T,0,0,T,T,0,F,T
E5,T,0,F,M,F,0,0,T,0,T,0,M,M,0,F,M,F,T,0,F,0,T,T,0,0,T,T,0,0,0
E6,0,M,0,M,0,M,0,M,T,T,F,0,M,0,0,T,0,F,F,M,0,0,0,T,F,M,M,0,F,T
E7,0,F,F,T,F,T,0,T,0,0,T,F,T,0,M,T,0,M,T,T,0,M,M,T,T,T,0,0,0,F
E8,M,0,M,F,T,T,0,T,F,T,0,M,M,0,0,T,0,0,T,0,0,F,0,F,0,M,T,F,T,T
E9,F,M,0,M,M,M,0,0,T,0,F,T,0,F,M,M,M,M,M,0,0,F,M,0,M,0,T,F,T,T
E10,0,T,0,0,M,F,0,0,M,F,M,0,0,0,T,0,0,0,0,0,F,T,F,M,F,0,0,0,T,T
E11,F,T,T,T,0,M,0,T,0,M,F,M,T,F,M,0,0,M,M,0,0,F,M,M,F,T,0,0,0,0
E12,F,M,M,0,M,M,0,M,0,M,T,0,T,0,T,T,0,F,M,T,F,0,T,T,F,F,0,0,0,T
