DayIndex,Date,Hour,Team,Minimo,Capacity,LB_slot
1,2021-11-01,09-10,A,-1,0,0
1,2021-11-01,09-10,B,-1,0,0
1,2021-11-01,10-11,A,-1,0,0
1,2021-11-01,10-11,B,-1,0,0
1,2021-11-01,11-12,A,-1,0,0
1,2021-11-01,11-12,B,-1,0,0
1,2021-11-01,12-13,A,-1,0,0
1,2021-11-01,12-13,B,-1,0,0
1,2021-11-01,13-14,A,-1,0,0
1,2021-11-01,13-14,B,-1,0,0
1,2021-11-01,14-15,A,-1,0,0
1,2021-11-01,14-15,B,-1,0,0
1,2021-11-01,15-16,A,-1,0,0
1,2021-11-01,15-16,B,-1,0,0
1,2021-11-01,16-17,A,-1,0,0
1,2021-11-01,16-17,B,-1,0,0
1,2021-11-01,17-18,A,-1,0,0
1,2021-11-01,17-18,B,-1,0,0
1,2021-11-01,18-19,A,-1,0,0
1,2021-11-01,18-19,B,-1,0,0
1,2021-11-01,19-20,A,-1,0,0
1,2021-11-01,19-20,B,-1,0,0
1,2021-11-01,20-21,A,-1,0,0
1,2021-11-01,20-21,B,-1,0,0
1,2021-11-01,21-22,A,-1,0,0
1,2021-11-01,21-22,B,-1,0,0
2,2021-11-02,09-10,A,4,19,0
2,2021-11-02,09-10,B,3,19,0
2,2021-11-02,10-11,A,4,19,0
2,2021-11-02,10-11,B,3,19,0
2,2021-11-02,11-12,A,4,19,0
2,2021-11-02,11-12,B,4,19,0
2,2021-11-02,12-13,A,4,19,0
2,2021-11-02,12-13,B,4,19,0
2,2021-11-02,13-14,A,4,19,0
2,2021-11-02,13-14,B,4,19,0
2,2021-11-02,14-15,A,4,19,0
2,2021-11-02,14-15,B,4,19,0
2,2021-11-02,15-16,A,4,19,0
2,2021-11-02,15-16,B,2,19,0
2,2021-11-02,16-17,A,3,19,0
2,2021-11-02,16-17,B,2,19,0
2,2021-11-02,17-18,A,3,19,0
2,2021-11-02,17-18,B,2,19,0
2,2021-11-02,18-19,A,4,19,0
2,2021-11-02,18-19,B,3,19,0
2,2021-11-02,19-20,A,4,19,0
2,2021-11-02,19-20,B,4,19,0
2,2021-11-02,20-21,A,4,19,0
2,2021-11-02,20-21,B,4,19,0
2,2021-11-02,21-22,A,3,19,0
2,2021-11-02,21-22,B,3,19,0
3,2021-11-03,09-10,A,3,19,0
3,2021-11-03,09-10,B,2,19,0
3,2021-11-03,10-11,A,4,19,0
3,2021-11-03,10-11,B,3,19,0
3,2021-11-03,11-12,A,4,19,0
3,2021-11-03,11-12,B,3,19,0
3,2021-11-03,12-13,A,4,19,0
3,2021-11-03,12-13,B,4,19,0
3,2021-11-03,13-14,A,4,19,0
3,2021-11-03,13-14,B,4,19,0
3,2021-11-03,14-15,A,4,19,0
3,2021-11-03,14-15,B,4,19,0
3,2021-11-03,15-16,A,4,19,0
3,2021-11-03,15-16,B,2,19,0
3,2021-11-03,16-17,A,3,19,0
3,2021-11-03,16-17,B,2,19,0
3,2021-11-03,17-18,A,3,19,0
3,2021-11-03,17-18,B,3,19,0
3,2021-11-03,18-19,A,4,19,0
3,2021-11-03,18-19,B,3,19,0
3,2021-11-03,19-20,A,4,19,0
3,2021-11-03,19-20,B,4,19,0
3,2021-11-03,20-21,A,4,19,0
3,2021-11-03,20-21,B,3,19,0
3,2021-11-03,21-22,A,3,19,0
3,2021-11-03,21-22,B,2,19,0
4,2021-11-04,09-10,A,2,19,0
4,2021-11-04,09-10,B,2,19,0
4,2021-11-04,10-11,A,3,19,0
4,2021-11-04,10-11,B,2,19,0
4,2021-11-04,11-12,A,4,19,0
4,2021-11-04,11-12,B,3,19,0
4,2021-11-04,12-13,A,4,19,0
4,2021-11-04,12-13,B,3,19,0
4,2021-11-04,13-14,A,4,19,0
4,2021-11-04,13-14,B,4,19,0
4,2021-11-04,14-15,A,3,19,0
4,2021-11-04,14-15,B,3,19,0
4,2021-11-04,15-16,A,3,19,0
4,2021-11-04,15-16,B,2,19,0
4,2021-11-04,16-17,A,3,19,0
4,2021-11-04,16-17,B,2,19,0
4,2021-11-04,17-18,A,3,19,0
4,2021-11-04,17-18,B,2,19,0
4,2021-11-04,18-19,A,4,19,0
4,2021-11-04,18-19,B,3,19,0
4,2021-11-04,19-20,A,4,19,0
4,2021-11-04,19-20,B,3,19,0
4,2021-11-04,20-21,A,4,19,0
4,2021-11-04,20-21,B,3,19,0
4,2021-11-04,21-22,A,2,19,0
4,2021-11-04,21-22,B,1,19,0
5,2021-11-05,09-10,A,3,19,0
5,2021-11-05,09-10,B,2,19,0
5,2021-11-05,10-11,A,3,19,0
5,2021-11-05,10-11,B,4,19,0
5,2021-11-05,11-12,A,4,19,0
5,2021-11-05,11-12,B,4,19,0
5,2021-11-05,12-13,A,4,19,0
5,2021-11-05,12-13,B,4,19,0
5,2021-11-05,13-14,A,4,19,0
5,2021-11-05,13-14,B,4,19,0
5,2021-11-05,14-15,A,4,19,0
5,2021-11-05,14-15,B,3,19,0
5,2021-11-05,15-16,A,4,19,0
5,2021-11-05,15-16,B,3,19,0
5,2021-11-05,16-17,A,3,19,0
5,2021-11-05,16-17,B,3,19,0
5,2021-11-05,17-18,A,3,19,0
5,2021-11-05,17-18,B,4,19,0
5,2021-11-05,18-19,A,4,19,0
5,2021-11-05,18-19,B,3,19,0
5,2021-11-05,19-20,A,4,19,0
5,2021-11-05,19-20,B,4,19,0
5,2021-11-05,20-21,A,4,19,0
5,2021-11-05,20-21,B,3,19,0
5,2021-11-05,21-22,A,2,19,0
5,2021-11-05,21-22,B,1,19,0
6,2021-11-06,09-10,A,4,19,0
6,2021-11-06,09-10,B,3,19,0
6,2021-11-06,10-11,A,4,19,0
6,2021-11-06,10-11,B,4,19,0
6,2021-11-06,11-12,A,4,19,0
6,2021-11-06,11-12,B,4,19,0
6,2021-11-06,12-13,A,4,19,0
6,2021-11-06,12-13,B,4,19,0
6,2021-11-06,13-14,A,4,19,0
6,2021-11-06,13-14,B,4,19,0
6,2021-11-06,14-15,A,4,19,0
6,2021-11-06,14-15,B,4,19,0
6,2021-11-06,15-16,A,4,19,0
6,2021-11-06,15-16,B,2,19,0
6,2021-11-06,16-17,A,3,19,0
6,2021-11-06,16-17,B,2,19,0
6,2021-11-06,17-18,A,4,19,0
6,2021-11-06,17-18,B,3,19,0
6,2021-11-06,18-19,A,4,19,0
6,2021-11-06,18-19,B,3,19,0
6,2021-11-06,19-20,A,4,19,0
6,2021-11-06,19-20,B,4,19,0
6,2021-11-06,20-21,A,4,19,0
6,2021-11-06,20-21,B,4,19,0
6,2021-11-06,21-22,A,2,19,0
6,2021-11-06,21-22,B,2,19,0
7,2021-11-07,09-10,A,-1,0,0
7,2021-11-07,09-10,B,-1,0,0
7,2021-11-07,10-11,A,-1,0,0
7,2021-11-07,10-11,B,-1,0,0
7,2021-11-07,11-12,A,-1,0,0
7,2021-11-07,11-12,B,-1,0,0
7,2021-11-07,12-13,A,-1,0,0
7,2021-11-07,12-13,B,-1,0,0
7,2021-11-07,13-14,A,-1,0,0
7,2021-11-07,13-14,B,-1,0,0
7,2021-11-07,14-15,A,-1,0,0
7,2021-11-07,14-15,B,-1,0,0
7,2021-11-07,15-16,A,-1,0,0
7,2021-11-07,15-16,B,-1,0,0
7,2021-11-07,16-17,A,-1,0,0
7,2021-11-07,16-17,B,-1,0,0
7,2021-11-07,17-18,A,-1,0,0
7,2021-11-07,17-18,B,-1,0,0
7,2021-11-07,18-19,A,-1,0,0
7,2021-11-07,18-19,B,-1,0,0
7,2021-11-07,19-20,A,-1,0,0
7,2021-11-07,19-20,B,-1,0,0
7,2021-11-07,20-21,A,-1,0,0
7,2021-11-07,20-21,B,-1,0,0
7,2021-11-07,21-22,A,-1,0,0
7,2021-11-07,21-22,B,-1,0,0
8,2021-11-08,09-10,A,3,19,0
8,2021-11-08,09-10,B,2,19,0
8,2021-11-08,10-11,A,4,19,0
8,2021-11-08,10-11,B,2,19,0
8,2021-11-08,11-12,A,4,19,0
8,2021-11-08,11-12,B,4,19,0
8,2021-11-08,12-13,A,4,19,0
8,2021-11-08,12-13,B,4,19,0
8,2021-11-08,13-14,A,4,19,0
8,2021-11-08,13-14,B,4,19,0
8,2021-11-08,14-15,A,4,19,0
8,2021-11-08,14-15,B,4,19,0
8,2021-11-08,15-16,A,4,19,0
8,2021-11-08,15-16,B,2,19,0
8,2021-11-08,16-17,A,2,19,0
8,2021-11-08,16-17,B,2,19,0
8,2021-11-08,17-18,A,3,19,0
8,2021-11-08,17-18,B,2,19,0
8,2021-11-08,18-19,A,4,19,0
8,2021-11-08,18-19,B,4,19,0
8,2021-11-08,19-20,A,4,19,0
8,2021-11-08,19-20,B,4,19,0
8,2021-11-08,20-21,A,4,19,0
8,2021-11-08,20-21,B,3,19,0
8,2021-11-08,21-22,A,2,19,0
8,2021-11-08,21-22,B,2,19,0
9,2021-11-09,09-10,A,3,19,0
9,2021-11-09,09-10,B,3,19,0
9,2021-11-09,10-11,A,4,19,0
9,2021-11-09,10-11,B,3,19,0
9,2021-11-09,11-12,A,4,19,0
9,2021-11-09,11-12,B,4,19,0
9,2021-11-09,12-13,A,4,19,0
9,2021-11-09,12-13,B,4,19,0
9,2021-11-09,13-14,A,4,19,0
9,2021-11-09,13-14,B,4,19,0
9,2021-11-09,14-15,A,4,19,0
9,2021-11-09,14-15,B,3,19,0
9,2021-11-09,15-16,A,3,19,0
9,2021-11-09,15-16,B,3,19,0
9,2021-11-09,16-17,A,2,19,0
9,2021-11-09,16-17,B,2,19,0
9,2021-11-09,17-18,A,3,19,0
9,2021-11-09,17-18,B,2,19,0
9,2021-11-09,18-19,A,4,19,0
9,2021-11-09,18-19,B,3,19,0
9,2021-11-09,19-20,A,4,19,0
9,2021-11-09,19-20,B,4,19,0
9,2021-11-09,20-21,A,4,19,0
9,2021-11-09,20-21,B,3,19,0
9,2021-11-09,21-22,A,4,19,0
9,2021-11-09,21-22,B,3,19,0
10,2021-11-10,09-10,A,3,19,0
10,2021-11-10,09-10,B,2,19,0
10,2021-11-10,10-11,A,3,19,0
10,2021-11-10,10-11,B,3,19,0
10,2021-11-10,11-12,A,4,19,0
10,2021-11-10,11-12,B,3,19,0
10,2021-11-10,12-13,A,4,19,0
10,2021-11-10,12-13,B,4,19,0
10,2021-11-10,13-14,A,4,19,0
10,2021-11-10,13-14,B,4,19,0
10,2021-11-10,14-15,A,4,19,0
10,2021-11-10,14-15,B,3,19,0
10,2021-11-10,15-16,A,3,19,0
10,2021-11-10,15-16,B,2,19,0
10,2021-11-10,16-17,A,2,19,0
10,2021-11-10,16-17,B,2,19,0
10,2021-11-10,17-18,A,3,19,0
10,2021-11-10,17-18,B,2,19,0
10,2021-11-10,18-19,A,4,19,0
10,2021-11-10,18-19,B,3,19,0
10,2021-11-10,19-20,A,4,19,0
10,2021-11-10,19-20,B,4,19,0
10,2021-11-10,20-21,A,4,19,0
10,2021-11-10,20-21,B,3,19,0
10,2021-11-10,21-22,A,2,19,0
10,2021-11-10,21-22,B,2,19,0
11,2021-11-11,09-10,A,4,19,0
11,2021-11-11,09-10,B,2,19,0
11,2021-11-11,10-11,A,3,19,0
11,2021-11-11,10-11,B,3,19,0
11,2021-11-11,11-12,A,4,19,0
11,2021-11-11,11-12,B,4,19,0
11,2021-11-11,12-13,A,4,19,0
11,2021-11-11,12-13,B,4,19,0
11,2021-11-11,13-14,A,4,19,0
11,2021-11-11,13-14,B,4,19,0
11,2021-11-11,14-15,A,4,19,0
11,2021-11-11,14-15,B,3,19,0
11,2021-11-11,15-16,A,3,19,0
11,2021-11-11,15-16,B,2,19,0
11,2021-11-11,16-17,A,2,19,0
11,2021-11-11,16-17,B,2,19,0
11,2021-11-11,17-18,A,3,19,0
11,2021-11-11,17-18,B,3,19,0
11,2021-11-11,18-19,A,4,19,0
11,2021-11-11,18-19,B,3,19,0
11,2021-11-11,19-20,A,4,19,0
11,2021-11-11,19-20,B,3,19,0
11,2021-11-11,20-21,A,4,19,0
11,2021-11-11,20-21,B,4,19,0
11,2021-11-11,21-22,A,3,19,0
11,2021-11-11,21-22,B,2,19,0
12,2021-11-12,09-10,A,4,19,0
12,2021-11-12,09-10,B,2,19,0
12,2021-11-12,10-11,A,4,19,0
12,2021-11-12,10-11,B,4,19,0
12,2021-11-12,11-12,A,4,19,0
12,2021-11-12,11-12,B,4,19,0
12,2021-11-12,12-13,A,4,19,0
12,2021-11-12,12-13,B,4,19,0
12,2021-11-12,13-14,A,4,19,0
12,2021-11-12,13-14,B,4,19,0
12,2021-11-12,14-15,A,4,19,0
12,2021-11-12,14-15,B,4,19,0
12,2021-11-12,15-16,A,4,19,0
12,2021-11-12,15-16,B,3,19,0
12,2021-11-12,16-17,A,3,19,0
12,2021-11-12,16-17,B,2,19,0
12,2021-11-12,17-18,A,3,19,0
12,2021-11-12,17-18,B,3,19,0
12,2021-11-12,18-19,A,4,19,0
12,2021-11-12,18-19,B,4,19,0
12,2021-11-12,19-20,A,4,19,0
12,2021-11-12,19-20,B,4,19,0
12,2021-11-12,20-21,A,4,19,0
12,2021-11-12,20-21,B,4,19,0
12,2021-11-12,21-22,A,2,19,0
12,2021-11-12,21-22,B,3,19,0
13,2021-11-13,09-10,A,4,19,0
13,2021-11-13,09-10,B,2,19,0
13,2021-11-13,10-11,A,4,19,0
13,2021-11-13,10-11,B,4,19,0
13,2021-11-13,11-12,A,4,19,0
13,2021-11-13,11-12,B,4,19,0
13,2021-11-13,12-13,A,4,19,0
13,2021-11-13,12-13,B,4,19,0
13,2021-11-13,13-14,A,4,19,0
13,2021-11-13,13-14,B,4,19,0
13,2021-11-13,14-15,A,4,19,0
13,2021-11-13,14-15,B,4,19,0
13,2021-11-13,15-16,A,4,19,0
13,2021-11-13,15-16,B,3,19,0
13,2021-11-13,16-17,A,4,19,0
13,2021-11-13,16-17,B,3,19,0
13,2021-11-13,17-18,A,3,19,0
13,2021-11-13,17-18,B,3,19,0
13,2021-11-13,18-19,A,4,19,0
13,2021-11-13,18-19,B,4,19,0
13,2021-11-13,19-20,A,4,19,0
13,2021-11-13,19-20,B,4,19,0
13,2021-11-13,20-21,A,4,19,0
13,2021-11-13,20-21,B,3,19,0
