
,,Competencia,,Contrato,Férias,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,Equipa A,A,B,,,D,S,T,Q,Q,S,S,D,S,T,Q,Q,S,S,D,S,T,Q,Q,S,S,D,S,T,Q,Q,S,S,D,S,T
,Empregado 1,1,,40,30,F,T,T,F,M,M,M,M,F,F,,,,,,,,,,,,,,,,,,,,,
,Empregado 2,1,,40,30,M,F,T,T,T,T,T,F,M,M,,,,,,,,,,,,T,,,,,,,,,
,Empregado 3,1,,40,30,F,M,M,M,T,Fer,Fer,Fer,Fer,Fer,Fer,Fer,Fer,Fer,Fer,,,,,,,,,,,,,,,,
,Empregado 4,1,,40,30,T,T,T,F,F,M,F,T,T,T,,,,,,,,,,,,,,,,,,,,,
,Empregado 5,1,2,40,30,F,M,MB,MB,MB,F,F,TB,TB,T,,,,,,,,,,,,,,,,,,,,,
,Empregado 6,1,2,40,30,T,T,F,T,T,TB,TB,F,T,T,,,,,,,,,,,,,,F,,,,,,,
,Empregado 7,1,,40,30,F,F,M,M,M,M,M,F,T,T,,,,,,,,,,,,,,,,,,,,,
,Empregado 8,1,,40,30,Fer,Fer,Fer,Fer,Fer,Fer,Fer,Fer,Fer,Fer,Fer,Fer,Fer,Fer,Fer,Fer,Fer,Fer,Fer,Fer,Fer,Fer,,,,,,,,,
,Empregado 9,1,,40,30,F,T,F,M,M,T,T,F,M,M,,,,,,,,,,,,,,,,,,,,,
,Empregado 10,,1,40,30,M,M,F,T,T,T,T,F,M,M,,,,,,,,,,,,,,,,,,,,,
,Empregado 11,2,1,40,30,T,T,T,F,F,M,M,M,F,T,,,,,,,,,,,,,,,,,,,,,
,Empregado 12,,1,40,30,T,T,Fer,Fer,Fer,Fer,Fer,Fer,Fer,Fer,,,,,,,,,,,,,,,,,,,,,
