employee_id,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09,2025-10-10,2025-10-11,2025-10-12,2025-10-13,2025-10-14,2025-10-15,2025-10-16,2025-10-17,2025-10-18,2025-10-19,2025-10-20,2025-10-21,2025-10-22,2025-10-23,2025-10-24,2025-10-25,2025-10-26,2025-10-27,2025-10-28,2025-10-29,2025-10-30,2025-10-31
20072412,8,8,8,8,DO,8,DO,8,8,8,8,DO,VAC,VAC,VAC,VAC,VAC,VAC,VAC,8,DO,8,8,8,8,DO,8,8,8,8,8
20066543,DO,8,8,8,DO,8,8,8,DO,8,8,DO,8,8,8,DO,8,8,DO,VAC,VAC,VAC,VAC,VAC,VAC,VAC,8,8,8,DO,8
20067009,DO,5,DO,5,5,5,DO,5,5,5,DO,5,5,5,DO,5,DO,5,5,5,5,DO,5,DO,5,5,5,5,DO,5,DO
20054956,4,4,4,4,NOT,4,4,4,4,4,DO,DO,DO,4,4,4,4,4,DO,DO,4,4,4,4,4,DO,VAC,VAC,VAC,VAC,VAC
20056459,4,4,4,4,4,DO,EQUALS:10:00-14:00,4,4,FDO,4,4,DO,DO,4,4,4,4,4,DO,DO,4,4,4,4,4,DO,DO,4,4,4
20062688,4,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,4,4,4,4,DO,4,DO,4,4,4,4,DO,4,DO,VAC,VAC,VAC,VAC,VAC
20067696,4,DO,4,4,DO,4,4,4,4,4,DO,4,4,DO,4,DO,4,4,4,4,DO,4,DO,4,4,4,4,DO,4,DO,4
20058959,NOT,4,4,DO,DO,4,4,4,4,4,DO,DO,4,4,4,4,4,DO,DO,4,4,4,4,4,DO,DO,4,4,4,4,4
20068397,DO,DO,4,4,4,DO,DO,DO,DO,4,4,4,DO,DO,DO,DO,4,4,4,DO,DO,DO,DO,4,4,4,DO,DO,DO,DO,4
20038706,DO,DO,DO,5,5,DO,DO,DO,DO,DO,5,5,DO,DO,DO,DO,DO,5,5,DO,DO,DO,DO,DO,5,5,DO,DO,DO,DO,DO
20066338,DO,DO,DO,EQUALS:11:00-16:00,5,DO,DO,DO,DO,DO,5,5,DO,DO,DO,DO,DO,5,5,DO,DO,DO,DO,DO,5,5,DO,DO,DO,DO,DO
900027719,DO,DO,DO,5,5,DO,DO,DO,DO,DO,5,5,DO,DO,DO,DO,DO,5,5,DO,DO,DO,DO,DO,5,5,DO,DO,DO,DO,DO
20051291,7,7,7,DO,DO,7,7,7,7,7,DO,DO,7,7,7,7,7,DO,DO,7,7,7,7,7,DO,DO,NOT,VAC,VAC,VAC,VAC
20055066,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,4,DO,4,DO,4,4,4,4,DO,4,DO,4,4,4,4,DO,4,DO,4
900027718,DO,DO,4,4,4,DO,DO,DO,DO,4,4,4,DO,DO,DO,DO,4,4,4,DO,DO,DO,DO,4,4,4,DO,DO,DO,DO,4
