date,workPeriod,team,minimum,ideal,estimated
2025-10-01,CHECKOUT_1000_1100,Checkout,1,1,1
2025-10-01,CHECKOUT_1100_2100,Checkout,1,1,1
2025-10-01,CHECKOUT_2100_2200,Checkout,1,1,1
2025-10-01,EMPLOYEES_0900_1000,Employees,1,1,1
2025-10-01,EMPLOYEES_1000_1100,Employees,3,3,3
2025-10-01,EMPLOYEES_1100_1200,Employees,3,3,3
2025-10-01,EMPLOYEES_1200_1300,Employees,3,3,3
2025-10-01,EMPLOYEES_1300_1400,Employees,3,3,3
2025-10-01,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-01,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-01,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-01,EMPLOYEES_1700_1800,Employees,3,3,3
2025-10-01,EMPLOYEES_1800_1900,Employees,3,3,3
2025-10-01,EMPLOYEES_1900_2000,Employees,3,3,3
2025-10-01,EMPLOYEES_2000_2100,Employees,3,3,3
2025-10-01,EMPLOYEES_2100_2200,Employees,3,3,3
2025-10-01,MANAGEMENT_1000_1100,Management,1,1,1
2025-10-01,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-01,MANAGEMENT_1400_1900,Management,1,1,1
2025-10-01,MANAGEMENT_1900_2100,Management,1,1,1
2025-10-01,MANAGEMENT_2100_2200,Management,1,1,1
2025-10-01,STORAGE_0830_1530,Storage,1,1,1
2025-10-02,CHECKOUT_1000_1100,Checkout,1,1,1
2025-10-02,CHECKOUT_1100_2100,Checkout,1,1,1
2025-10-02,CHECKOUT_2100_2200,Checkout,1,1,1
2025-10-02,EMPLOYEES_0900_1000,Employees,1,1,1
2025-10-02,EMPLOYEES_1000_1100,Employees,3,3,3
2025-10-02,EMPLOYEES_1100_1200,Employees,3,3,3
2025-10-02,EMPLOYEES_1200_1300,Employees,3,3,3
2025-10-02,EMPLOYEES_1300_1400,Employees,3,3,3
2025-10-02,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-02,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-02,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-02,EMPLOYEES_1700_1800,Employees,3,3,3
2025-10-02,EMPLOYEES_1800_1900,Employees,3,3,3
2025-10-02,EMPLOYEES_1900_2000,Employees,3,3,3
2025-10-02,EMPLOYEES_2000_2100,Employees,3,3,3
2025-10-02,EMPLOYEES_2100_2200,Employees,3,3,3
2025-10-02,MANAGEMENT_1000_1100,Management,1,1,1
2025-10-02,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-02,MANAGEMENT_1400_1900,Management,1,1,1
2025-10-02,MANAGEMENT_1900_2100,Management,1,1,1
2025-10-02,MANAGEMENT_2100_2200,Management,1,1,1
2025-10-02,STORAGE_0830_1530,Storage,1,1,1
2025-10-03,CHECKOUT_1000_1100,Checkout,1,1,1
2025-10-03,CHECKOUT_1100_2100,Checkout,2,2,2
2025-10-03,CHECKOUT_2100_2200,Checkout,1,1,1
2025-10-03,EMPLOYEES_0900_1000,Employees,1,1,1
2025-10-03,EMPLOYEES_1000_1100,Employees,3,3,3
2025-10-03,EMPLOYEES_1100_1200,Employees,3,3,3
2025-10-03,EMPLOYEES_1200_1300,Employees,3,3,3
2025-10-03,EMPLOYEES_1300_1400,Employees,3,3,3
2025-10-03,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-03,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-03,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-03,EMPLOYEES_1700_1800,Employees,3,3,3
2025-10-03,EMPLOYEES_1800_1900,Employees,3,3,3
2025-10-03,EMPLOYEES_1900_2000,Employees,3,3,3
2025-10-03,EMPLOYEES_2000_2100,Employees,3,3,3
2025-10-03,EMPLOYEES_2100_2200,Employees,3,3,3
2025-10-03,MANAGEMENT_1000_1100,Management,1,1,1
2025-10-03,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-03,MANAGEMENT_1400_1900,Management,1,1,1
2025-10-03,MANAGEMENT_1900_2100,Management,1,1,1
2025-10-03,MANAGEMENT_2100_2200,Management,1,1,1
2025-10-03,STORAGE_0830_1530,Storage,1,1,1
2025-10-04,CHECKOUT_1100_2100,Checkout,2,2,2
2025-10-04,EMPLOYEES_1100_1200,Employees,4,4,4
2025-10-04,EMPLOYEES_1200_1300,Employees,4,4,4
2025-10-04,EMPLOYEES_1300_1400,Employees,4,4,4
2025-10-04,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-04,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-04,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-04,EMPLOYEES_1700_1800,Employees,4,4,4
2025-10-04,EMPLOYEES_1800_1900,Employees,4,4,4
2025-10-04,EMPLOYEES_1900_2000,Employees,4,4,4
2025-10-04,EMPLOYEES_2000_2100,Employees,4,4,4
2025-10-04,MANAGEMENT_1100_1400,Management,1,1,1
2025-10-04,MANAGEMENT_1400_1900,Management,2,2,2
2025-10-04,MANAGEMENT_1900_2100,Management,2,2,2
2025-10-05,CHECKOUT_1100_2100,Checkout,2,2,2
2025-10-05,EMPLOYEES_1100_1200,Employees,4,4,4
2025-10-05,EMPLOYEES_1200_1300,Employees,4,4,4
2025-10-05,EMPLOYEES_1300_1400,Employees,4,4,4
2025-10-05,EMPLOYEES_1400_1500,Employees,1,1,1
2025-10-05,EMPLOYEES_1500_1600,Employees,1,1,1
2025-10-05,EMPLOYEES_1600_1700,Employees,1,1,1
2025-10-05,EMPLOYEES_1700_1800,Employees,4,4,4
2025-10-05,EMPLOYEES_1800_1900,Employees,4,4,4
2025-10-05,EMPLOYEES_1900_2000,Employees,4,4,4
2025-10-05,EMPLOYEES_2000_2100,Employees,4,4,4
