date,shift,team,minimum,ideal
2025-01-01,M,A,1,2
2025-01-01,T,A,1,2
2025-01-01,M,B,1,2
2025-01-01,T,B,1,2
2025-01-01,M,C,1,2
2025-01-01,T,C,1,2
2025-01-01,M,D,1,2
2025-01-01,T,D,2,3
2025-01-01,M,E,1,2
2025-01-01,T,E,1,2
2025-01-01,M,F,1,2
2025-01-01,T,F,1,2
2025-01-01,M,G,2,3
2025-01-01,T,G,1,2
2025-01-01,M,H,1,2
2025-01-01,T,H,1,2
2025-01-01,M,I,1,2
2025-01-01,T,I,0,1
2025-01-01,M,J,1,2
2025-01-01,T,J,1,2
2025-01-01,M,K,1,2
2025-01-01,T,K,1,2
2025-01-01,M,L,1,2
2025-01-01,T,L,1,2
2025-01-01,M,M,1,2
2025-01-01,T,M,1,2
2025-01-01,M,N,1,2
2025-01-01,T,N,1,2
2025-01-01,M,O,1,2
2025-01-01,T,O,1,2
2025-01-01,M,P,0,1
2025-01-01,T,P,1,2
2025-01-02,M,A,1,2
2025-01-02,T,A,1,2
2025-01-02,M,B,1,2
2025-01-02,T,B,1,2
2025-01-02,M,C,1,2
2025-01-02,T,C,2,3
2025-01-02,M,D,1,2
2025-01-02,T,D,1,2
2025-01-02,M,E,1,2
2025-01-02,T,E,1,2
2025-01-02,M,F,1,2
2025-01-02,T,F,1,2
2025-01-02,M,G,1,2
2025-01-02,T,G,1,2
2025-01-02,M,H,1,2
2025-01-02,T,H,1,2
2025-01-02,M,I,1,2
2025-01-02,T,I,1,2
2025-01-02,M,J,1,2
2025-01-02,T,J,1,2
2025-01-02,M,K,1,2
2025-01-02,T,K,1,2
2025-01-02,M,L,1,2
2025-01-02,T,L,1,2
2025-01-02,M,M,1,2
2025-01-02,T,M,1,2
2025-01-02,M,N,1,2
2025-01-02,T,N,1,2
2025-01-02,M,O,1,2
2025-01-02,T,O,1,2
2025-01-02,M,P,1,2
2025-01-02,T,P,1,2
2025-01-03,M,A,1,2
2025-01-03,T,A,1,2
2025-01-03,M,B,1,2
2025-01-03,T,B,1,2
2025-01-03,M,C,1,2
2025-01-03,T,C,1,2
