date,shift,team,minimum,ideal,estimated
2025-01-01,M,A,1,2,2
2025-01-01,T,A,1,2,2
2025-01-01,M,AA,1,2,2
2025-01-01,T,AA,2,3,3
2025-01-01,M,AB,1,2,2
2025-01-01,T,AB,1,2,2
2025-01-01,M,AC,0,1,1
2025-01-01,T,AC,0,1,1
2025-01-01,M,AD,1,2,2
2025-01-01,T,AD,0,1,1
2025-01-01,M,AE,1,2,2
2025-01-01,T,AE,1,2,2
2025-01-01,M,AF,1,2,2
2025-01-01,T,AF,1,2,2
2025-01-01,M,B,1,2,2
2025-01-01,T,B,1,2,2
2025-01-01,M,C,1,2,2
2025-01-01,T,C,1,2,2
2025-01-01,M,D,1,2,2
2025-01-01,T,D,1,2,2
2025-01-01,M,E,1,2,2
2025-01-01,T,E,1,2,2
2025-01-01,M,F,1,2,2
2025-01-01,T,F,1,2,2
2025-01-01,M,G,1,2,2
2025-01-01,T,G,1,2,2
2025-01-01,M,H,1,2,2
2025-01-01,T,H,2,3,3
2025-01-01,M,I,1,2,2
2025-01-01,T,I,0,1,1
2025-01-01,M,J,0,1,1
2025-01-01,T,J,1,2,2
2025-01-01,M,K,1,2,2
2025-01-01,T,K,1,2,2
2025-01-01,M,L,1,2,2
2025-01-01,T,L,1,2,2
2025-01-01,M,M,1,2,2
2025-01-01,T,M,1,2,2
2025-01-01,M,N,1,2,2
2025-01-01,T,N,1,2,2
2025-01-01,M,O,2,3,3
2025-01-01,T,O,1,2,2
2025-01-01,M,P,1,2,2
2025-01-01,T,P,1,2,2
2025-01-01,M,Q,1,2,2
2025-01-01,T,Q,1,2,2
2025-01-01,M,R,1,2,2
2025-01-01,T,R,1,2,2
2025-01-01,M,S,1,2,2
2025-01-01,T,S,1,2,2
2025-01-01,M,T,1,2,2
2025-01-01,T,T,1,2,2
2025-01-01,M,U,1,2,2
2025-01-01,T,U,1,2,2
2025-01-01,M,V,1,2,2
2025-01-01,T,V,1,2,2
2025-01-01,M,W,1,2,2
2025-01-01,T,W,1,2,2
2025-01-01,M,X,1,2,2
2025-01-01,T,X,1,2,2
2025-01-01,M,Y,0,1,1
2025-01-01,T,Y,1,2,2
2025-01-01,M,Z,1,2,2
2025-01-01,T,Z,2,3,3
2025-01-02,M,A,1,2,2
2025-01-02,T,A,1,2,2
2025-01-02,M,AA,2,3,3
2025-01-02,T,AA,1,2,2
2025-01-02,M,AB,1,2,2
2025-01-02,T,AB,1,2,2
2025-01-02,M,AC,1,2,2
2025-01-02,T,AC,1,2,2
2025-01-02,M,AD,1,2,2
2025-01-02,T,AD,1,2,2
2025-01-02,M,AE,1,2,2
2025-01-02,T,AE,1,2,2
2025-01-02,M,AF,1,2,2
2025-01-02,T,AF,2,3,3
2025-01-02,M,B,1,2,2
2025-01-02,T,B,1,2,2
2025-01-02,M,C,1,2,2
2025-01-02,T,C,2,3,3
2025-01-02,M,D,1,2,2
2025-01-02,T,D,1,2,2
2025-01-02,M,E,1,2,2
2025-01-02,T,E,1,2,2
2025-01-02,M,F,2,3,3
2025-01-02,T,F,1,2,2
2025-01-02,M,G,1,2,2
2025-01-02,T,G,1,2,2
2025-01-02,M,H,1,2,2
2025-01-02,T,H,1,2,2
2025-01-02,M,I,1,2,2
2025-01-02,T,I,1,2,2
2025-01-02,M,J,2,3,3
2025-01-02,T,J,1,2,2
2025-01-02,M,K,1,2,2
2025-01-02,T,K,1,2,2
2025-01-02,M,L,1,2,2
2025-01-02,T,L,1,2,2
2025-01-02,M,M,1,2,2
2025-01-02,T,M,1,2,2
2025-01-02,M,N,1,2,2
2025-01-02,T,N,1,2,2
2025-01-02,M,O,1,2,2
2025-01-02,T,O,1,2,2
2025-01-02,M,P,1,2,2
2025-01-02,T,P,1,2,2
2025-01-02,M,Q,0,1,1
2025-01-02,T,Q,1,2,2
2025-01-02,M,R,1,2,2
2025-01-02,T,R,1,2,2
2025-01-02,M,S,1,2,2
2025-01-02,T,S,1,2,2
2025-01-02,M,T,1,2,2
2025-01-02,T,T,1,2,2
2025-01-02,M,U,1,2,2
2025-01-02,T,U,1,2,2
2025-01-02,M,V,1,2,2
2025-01-02,T,V,1,2,2
2025-01-02,M,W,1,2,2
2025-01-02,T,W,1,2,2
2025-01-02,M,X,1,2,2
2025-01-02,T,X,1,2,2
2025-01-02,M,Y,1,2,2
2025-01-02,T,Y,1,2,2
2025-01-02,M,Z,1,2,2
2025-01-02,T,Z,1,2,2
2025-01-03,M,A,1,2,2
2025-01-03,T,A,1,2,2
2025-01-03,M,AA,1,2,2
2025-01-03,T,AA,1,2,2
2025-01-03,M,AB,1,2,2
2025-01-03,T,AB,2,3,3
2025-01-03,M,AC,1,2,2
2025-01-03,T,AC,1,2,2
2025-01-03,M,AD,1,2,2
2025-01-03,T,AD,1,2,2
2025-01-03,M,AE,1,2,2
2025-01-03,T,AE,1,2,2
2025-01-03,M,AF,1,2,2
2025-01-03,T,AF,1,2,2
2025-01-03,M,B,1,2,2
2025-01-03,T,B,1,2,2
2025-01-03,M,C,1,2,2
2025-01-03,T,C,1,2,2
2025-01-03,M,D,1,2,2
2025-01-03,T,D,1,2,2
2025-01-03,M,E,0,1,1
2025-01-03,T,E,1,2,2
2025-01-03,M,F,1,2,2
2025-01-03,T,F,1,2,2
2025-01-03,M,G,1,2,2
