date,shift,team,minimum,ideal,estimated
2025-01-01,M,A,3,4,4
2025-01-01,N,A,1,2,2
2025-01-01,T,A,2,3,3
2025-01-01,M,B,2,3,3
2025-01-01,N,B,1,2,2
2025-01-01,T,B,2,3,3
2025-01-01,M,C,2,3,3
2025-01-01,N,C,1,2,2
2025-01-01,T,C,2,3,3
2025-01-01,M,D,2,3,3
2025-01-01,N,D,1,2,2
2025-01-01,T,D,2,3,3
2025-01-01,M,E,2,3,3
2025-01-01,N,E,1,2,2
2025-01-01,T,E,2,3,3
2025-01-01,M,F,2,3,3
2025-01-01,N,F,1,2,2
2025-01-01,T,F,2,3,3
2025-01-01,M,G,2,3,3
2025-01-01,N,G,1,2,2
2025-01-01,T,G,2,3,3
2025-01-01,M,H,2,3,3
2025-01-01,N,H,1,2,2
2025-01-01,T,H,2,3,3
2025-01-01,M,I,2,3,3
2025-01-01,N,I,1,2,2
2025-01-01,T,I,2,3,3
2025-01-01,M,J,2,3,3
2025-01-01,N,J,1,2,2
2025-01-01,T,J,2,3,3
2025-01-01,M,K,2,3,3
2025-01-01,N,K,1,2,2
2025-01-01,T,K,2,3,3
2025-01-01,M,L,2,3,3
2025-01-01,N,L,1,2,2
2025-01-01,T,L,2,3,3
2025-01-01,M,M,2,3,3
2025-01-01,N,M,1,2,2
2025-01-01,T,M,1,2,2
2025-01-01,M,N,2,3,3
2025-01-01,N,N,1,2,2
2025-01-01,T,N,2,3,3
2025-01-01,M,O,2,3,3
2025-01-01,N,O,1,2,2
2025-01-01,T,O,2,3,3
2025-01-01,M,P,2,3,3
2025-01-01,N,P,1,2,2
2025-01-01,T,P,2,3,3
2025-01-01,M,Q,2,3,3
2025-01-01,N,Q,1,2,2
2025-01-01,T,Q,2,3,3
2025-01-01,M,R,2,3,3
2025-01-01,N,R,1,2,2
2025-01-01,T,R,2,3,3
2025-01-01,M,S,2,3,3
2025-01-01,N,S,1,2,2
2025-01-01,T,S,2,3,3
2025-01-01,M,T,2,3,3
2025-01-01,N,T,1,2,2
2025-01-01,T,T,2,3,3
2025-01-01,M,U,2,3,3
2025-01-01,N,U,1,2,2
2025-01-01,T,U,2,3,3
2025-01-01,M,V,2,3,3
2025-01-01,N,V,1,2,2
2025-01-01,T,V,3,4,4
2025-01-01,M,W,2,3,3
2025-01-01,N,W,1,2,2
2025-01-01,T,W,2,3,3
2025-01-01,M,X,2,3,3
2025-01-01,N,X,1,2,2
2025-01-01,T,X,3,4,4
2025-01-01,M,Y,2,3,3
2025-01-01,N,Y,1,2,2
2025-01-01,T,Y,2,3,3
2025-01-01,M,Z,2,3,3
2025-01-01,N,Z,0,1,1
2025-01-01,T,Z,1,2,2
2025-01-01,M,[,2,3,3
2025-01-01,N,[,1,2,2
2025-01-01,T,[,2,3,3
2025-01-01,M,\,2,3,3
2025-01-01,N,\,1,2,2
2025-01-01,T,\,2,3,3
2025-01-01,M,],2,3,3
2025-01-01,N,],1,2,2
2025-01-01,T,],2,3,3
2025-01-01,M,^,2,3,3
2025-01-01,N,^,1,2,2
2025-01-01,T,^,2,3,3
2025-01-01,M,_,2,3,3
2025-01-01,N,_,1,2,2
2025-01-01,T,_,2,3,3
2025-01-01,M,`,2,3,3
2025-01-01,N,`,1,2,2
2025-01-01,T,`,2,3,3
2025-01-02,M,A,2,3,3
2025-01-02,N,A,1,2,2
2025-01-02,T,A,2,3,3
2025-01-02,M,B,2,3,3
2025-01-02,N,B,1,2,2
2025-01-02,T,B,2,3,3
2025-01-02,M,C,2,3,3
2025-01-02,N,C,1,2,2
2025-01-02,T,C,1,2,2
2025-01-02,M,D,2,3,3
2025-01-02,N,D,1,2,2
2025-01-02,T,D,2,3,3
2025-01-02,M,E,2,3,3
2025-01-02,N,E,1,2,2
2025-01-02,T,E,2,3,3
2025-01-02,M,F,2,3,3
2025-01-02,N,F,1,2,2
2025-01-02,T,F,3,4,4
2025-01-02,M,G,2,3,3
2025-01-02,N,G,1,2,2
2025-01-02,T,G,2,3,3
2025-01-02,M,H,2,3,3
2025-01-02,N,H,1,2,2
2025-01-02,T,H,2,3,3
2025-01-02,M,I,2,3,3
2025-01-02,N,I,1,2,2
2025-01-02,T,I,2,3,3
2025-01-02,M,J,2,3,3
2025-01-02,N,J,1,2,2
2025-01-02,T,J,2,3,3
2025-01-02,M,K,2,3,3
2025-01-02,N,K,1,2,2
2025-01-02,T,K,2,3,3
2025-01-02,M,L,2,3,3
2025-01-02,N,L,1,2,2
2025-01-02,T,L,2,3,3
2025-01-02,M,M,2,3,3
2025-01-02,N,M,2,3,3
2025-01-02,T,M,2,3,3
2025-01-02,M,N,2,3,3
2025-01-02,N,N,1,2,2
2025-01-02,T,N,2,3,3
2025-01-02,M,O,2,3,3
2025-01-02,N,O,1,2,2
2025-01-02,T,O,2,3,3
2025-01-02,M,P,2,3,3
2025-01-02,N,P,1,2,2
2025-01-02,T,P,2,3,3
2025-01-02,M,Q,2,3,3
2025-01-02,N,Q,0,1,1
2025-01-02,T,Q,2,3,3
2025-01-02,M,R,2,3,3
2025-01-02,N,R,1,2,2
2025-01-02,T,R,2,3,3
2025-01-02,M,S,2,3,3
2025-01-02,N,S,1,2,2
2025-01-02,T,S,2,3,3
2025-01-02,M,T,2,3,3
2025-01-02,N,T,1,2,2
2025-01-02,T,T,2,3,3
2025-01-02,M,U,2,3,3
2025-01-02,N,U,1,2,2
2025-01-02,T,U,2,3,3
2025-01-02,M,V,2,3,3
2025-01-02,N,V,1,2,2
2025-01-02,T,V,2,3,3
