date,shift,team,minimum,ideal,estimated
2025-01-01,STORAGE_0830_1530,Storage,1,1,1
2025-01-01,CHECKOUT_1000_1100,Checkout,1,1,1
2025-01-01,CHECKOUT_1100_2100,Checkout,1,1,1
2025-01-01,CHECKOUT_2100_2200,Checkout,1,1,1
2025-01-01,MANAGEMENT_1000_1100,Management,1,1,1
2025-01-01,MANAGEMENT_1100_1400,Management,1,1,1
2025-01-01,MANAGEMENT_1400_1900,Management,1,1,1
2025-01-01,MANAGEMENT_1900_2100,Management,1,1,1
2025-01-01,MANAGEMENT_2100_2200,Management,1,1,1
2025-01-02,STORAGE_0830_1530,Storage,1,1,1
2025-01-02,CHECKOUT_1000_1100,Checkout,1,1,1
2025-01-02,CHECKOUT_1100_2100,Checkout,1,1,1
2025-01-02,CHECKOUT_2100_2200,Checkout,1,1,1
2025-01-02,MANAGEMENT_1000_1100,Management,1,1,1
2025-01-02,MANAGEMENT_1100_1400,Management,1,1,1
2025-01-02,MANAGEMENT_1400_1900,Management,1,1,1
2025-01-02,MANAGEMENT_1900_2100,Management,1,1,1
2025-01-02,MANAGEMENT_2100_2200,Management,1,1,1
2025-01-03,STORAGE_0830_1530,Storage,1,1,1
2025-01-03,CHECKOUT_1000_1100,Checkout,1,1,1
2025-01-03,CHECKOUT_1100_2100,Checkout,1,1,1
2025-01-03,CHECKOUT_2100_2200,Checkout,1,1,1
2025-01-03,MANAGEMENT_1000_1100,Management,1,1,1
2025-01-03,MANAGEMENT_1100_1400,Management,1,1,1
2025-01-03,MANAGEMENT_1400_1900,Management,1,1,1
2025-01-03,MANAGEMENT_1900_2100,Management,1,1,1
2025-01-03,MANAGEMENT_2100_2200,Management,1,1,1
2025-01-04,CHECKOUT_1100_2100,Checkout,1,1,1
2025-01-04,MANAGEMENT_1100_1400,Management,1,1,1
2025-01-04,MANAGEMENT_1400_1900,Management,1,1,1
2025-01-04,MANAGEMENT_1900_2100,Management,1,1,1
2025-01-05,CHECKOUT_1100_2100,Checkout,1,1,1
2025-01-05,MANAGEMENT_1100_1400,Management,1,1,1
2025-01-05,MANAGEMENT_1900_2100,Management,1,1,1
2025-01-06,STORAGE_0830_1530,Storage,1,1,1
2025-01-06,CHECKOUT_1000_1100,Checkout,1,1,1
