employee_id,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09,2025-10-10,2025-10-11,2025-10-12,2025-10-13,2025-10-14,2025-10-15,2025-10-16,2025-10-17,2025-10-18,2025-10-19,2025-10-20,2025-10-21,2025-10-22,2025-10-23,2025-10-24,2025-10-25,2025-10-26,2025-10-27,2025-10-28,2025-10-29,2025-10-30,2025-10-31
20072412,A,A,A,A,A,A,A,A,A,A,A,A,VAC,VAC,VAC,VAC,VAC,VAC,VAC,A,A,A,A,A,A,A,A,A,A,A,A
20066543,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,VAC,VAC,VAC,VAC,VAC,VAC,VAC,A,A,A,A,A
20072413,A,A,A,A,A,DO,A,A,A,A,A,DO,A,A,A,A,A,A,DO,A,A,A,A,A,A,DO,A,A,A,A,A
20067009,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,VAC,VAC,VAC,VAC,VAC
20054956,A,A,A,A,NOT,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,VAC,VAC,VAC,VAC,VAC
20062688,A,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,A,A,A,A,A,A,A,A,A,A,A,A,A,A,VAC,VAC,VAC,VAC,VAC
20072414,NOT,A,A,A,A,A,A,DO,A,A,A,A,A,A,DO,A,A,A,A,A,A,DO,A,A,A,A,A,A,DO,A,A
20056459,A,A,A,A,A,A,10:00-14:00,A,A,DO,A,A,A,A,A,A,DO,A,A,A,A,A,A,DO,A,A,A,A,A,A,DO
20067696,A,A,A,A,A,A,A,A,DO,A,A,A,A,A,A,DO,A,A,A,A,A,A,DO,A,A,A,A,A,A,DO,A
20058959,NOT,A,A,A,A,A,A,A,A,A,A,A,A,DO,A,A,A,A,A,A,DO,A,A,A,A,A,A,DO,A,A,A
20068397,A,A,A,A,A,A,A,A,A,A,A,A,VAC,VAC,VAC,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
20038706,A,A,A,A,A,A,A,A,A,A,DO,A,A,A,A,A,A,DO,A,A,A,A,A,A,DO,A,A,A,A,A,A
20066338,A,A,A,11:00-16:00,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,VAC,VAC,VAC,A,A,A,A,A,A,A,A,A
900027719,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
20055066,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
20051291,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NOT,VAC,VAC,VAC,VAC
20051292,A,A,A,A,A,VAC,VAC,VAC,VAC,VAC,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
20051293,A,A,A,A,A,A,A,A,A,A,A,A,DO,A,A,A,A,A,A,DO,A,A,A,A,A,A,DO,A,A,A,A
