date,shift,team,minimum,ideal,estimated
2030-10-01,M,EG,1,2,1
2030-10-01,T,EG,1,1,1
2030-10-01,M,CAJ,2,3,2
2030-10-01,T,CAJ,2,4,3
2030-10-02,M,EG,1,2,1
2030-10-02,T,EG,1,1,1
2030-10-02,M,CAJ,2,3,2
2030-10-02,T,CAJ,2,4,3
2030-10-03,M,EG,1,2,1
2030-10-03,T,EG,1,1,1
2030-10-03,M,CAJ,2,3,2
2030-10-03,T,CAJ,2,4,3
2030-10-04,M,EG,1,1,1
2030-10-04,M,CAJ,1,2,1
2030-10-05,M,EG,1,1,1
2030-10-05,M,CAJ,1,2,1
2030-10-06,M,EG,1,2,1
2030-10-06,T,EG,1,1,1
2030-10-06,M,CAJ,2,3,2
2030-10-06,T,CAJ,2,4,3
2030-10-07,M,EG,1,2,1
2030-10-07,T,EG,1,1,1
2030-10-07,M,CAJ,2,3,2
2030-10-07,T,CAJ,2,4,3
2030-10-08,M,EG,1,2,1
2030-10-08,T,EG,1,1,1
2030-10-08,M,CAJ,2,3,2
2030-10-08,T,CAJ,2,4,3
2030-10-09,M,EG,1,2,1
2030-10-09,T,EG,1,1,1
2030-10-09,M,CAJ,2,3,2
2030-10-09,T,CAJ,2,4,3
2030-10-10,M,EG,1,2,1
2030-10-10,T,EG,1,1,1
2030-10-10,M,CAJ,2,3,2
2030-10-10,T,CAJ,2,4,3
2030-10-11,M,EG,1,1,1
2030-10-11,M,CAJ,1,2,1
2030-10-12,M,EG,1,1,1
2030-10-12,M,CAJ,1,2,1
2030-10-13,M,EG,1,2,1
2030-10-13,T,EG,1,1,1
2030-10-13,M,CAJ,2,3,2
2030-10-13,T,CAJ,2,4,3
2030-10-14,M,EG,1,2,1
2030-10-14,T,EG,1,1,1
2030-10-14,M,CAJ,2,3,2
2030-10-14,T,CAJ,2,4,3
2030-10-15,M,EG,1,2,1
2030-10-15,T,EG,1,1,1
2030-10-15,M,CAJ,2,3,2
2030-10-15,T,CAJ,2,4,3
2030-10-16,M,EG,1,2,1
2030-10-16,T,EG,1,1,1
2030-10-16,M,CAJ,2,3,2
2030-10-16,T,CAJ,2,4,3
2030-10-17,M,EG,1,2,1
2030-10-17,T,EG,1,1,1
2030-10-17,M,CAJ,2,3,2
2030-10-17,T,CAJ,2,4,3
2030-10-18,M,EG,1,1,1
2030-10-18,M,CAJ,1,2,1
2030-10-19,M,EG,1,1,1
2030-10-19,M,CAJ,1,2,1
2030-10-20,M,EG,1,2,1
2030-10-20,T,EG,1,1,1
2030-10-20,M,CAJ,2,3,2
2030-10-20,T,CAJ,2,4,3
2030-10-21,M,EG,1,2,1
2030-10-21,T,EG,1,1,1
2030-10-21,M,CAJ,2,3,2
2030-10-21,T,CAJ,2,4,3
2030-10-22,M,EG,1,2,1
2030-10-22,T,EG,1,1,1
2030-10-22,M,CAJ,2,3,2
2030-10-22,T,CAJ,2,4,3
2030-10-23,M,EG,1,2,1
2030-10-23,T,EG,1,1,1
2030-10-23,M,CAJ,2,3,2
2030-10-23,T,CAJ,2,4,3
2030-10-24,M,EG,1,2,1
2030-10-24,T,EG,1,1,1
2030-10-24,M,CAJ,2,3,2
2030-10-24,T,CAJ,2,4,3
2030-10-25,M,EG,1,1,1
2030-10-25,M,CAJ,1,2,1
2030-10-26,M,EG,1,1,1
2030-10-26,M,CAJ,1,2,1
2030-10-27,M,EG,1,2,1
2030-10-27,T,EG,1,1,1
2030-10-27,M,CAJ,2,3,2
2030-10-27,T,CAJ,2,4,3
2030-10-28,M,EG,1,2,1
2030-10-28,T,EG,1,1,1
2030-10-28,M,CAJ,2,3,2
2030-10-28,T,CAJ,2,4,3
2030-10-29,M,EG,1,2,1
2030-10-29,T,EG,1,1,1
2030-10-29,M,CAJ,2,3,2
2030-10-29,T,CAJ,2,4,3
2030-10-30,M,EG,1,2,1
2030-10-30,T,EG,1,1,1
2030-10-30,M,CAJ,2,3,2
2030-10-30,T,CAJ,2,4,3
2030-10-31,M,EG,1,2,1
2030-10-31,T,EG,1,1,1
2030-10-31,M,CAJ,2,3,2
2030-10-31,T,CAJ,2,4,3
