date,team,open,close
2025-10-01,Storage,06:00,23:00
2025-10-01,Checkout,08:00,22:00
2025-10-01,Management,08:00,22:00
2025-10-02,Storage,06:00,23:00
2025-10-02,Checkout,08:00,22:00
2025-10-02,Management,08:00,22:00
2025-10-03,Storage,06:00,23:00
2025-10-03,Checkout,08:00,22:00
2025-10-03,Management,08:00,22:00
2025-10-04,Storage,07:00,21:00
2025-10-04,Checkout,09:00,20:00
2025-10-04,Management,09:00,20:00
2025-10-05,Storage,07:00,20:00
2025-10-05,Checkout,10:00,20:00
2025-10-05,Management,10:00,20:00
2025-10-06,Storage,06:00,23:00
2025-10-06,Checkout,08:00,22:00
2025-10-06,Management,08:00,22:00
2025-10-07,Storage,06:00,23:00
2025-10-07,Checkout,08:00,22:00
2025-10-07,Management,08:00,22:00
2025-10-08,Storage,06:00,23:00
2025-10-08,Checkout,08:00,22:00
2025-10-08,Management,08:00,22:00
2025-10-09,Storage,06:00,23:00
2025-10-09,Checkout,08:00,22:00
2025-10-09,Management,08:00,22:00
2025-10-10,Storage,06:00,23:00
2025-10-10,Checkout,08:00,22:00
2025-10-10,Management,08:00,22:00
2025-10-11,Storage,07:00,21:00
2025-10-11,Checkout,09:00,20:00
2025-10-11,Management,09:00,20:00
2025-10-12,Storage,07:00,20:00
2025-10-12,Checkout,10:00,20:00
2025-10-12,Management,10:00,20:00
2025-10-13,Storage,06:00,23:00
2025-10-13,Checkout,08:00,22:00
2025-10-13,Management,08:00,22:00
2025-10-14,Storage,06:00,23:00
2025-10-14,Checkout,08:00,22:00
2025-10-14,Management,08:00,22:00
2025-10-15,Storage,06:00,23:00
2025-10-15,Checkout,08:00,22:00
2025-10-15,Management,08:00,22:00
2025-10-16,Storage,06:00,23:00
2025-10-16,Checkout,08:00,22:00
2025-10-16,Management,08:00,22:00
2025-10-17,Storage,06:00,23:00
2025-10-17,Checkout,08:00,22:00
2025-10-17,Management,08:00,22:00
2025-10-18,Storage,07:00,21:00
2025-10-18,Checkout,09:00,20:00
2025-10-18,Management,09:00,20:00
2025-10-19,Storage,07:00,20:00
2025-10-19,Checkout,10:00,20:00
2025-10-19,Management,10:00,20:00
2025-10-20,Storage,06:00,23:00
2025-10-20,Checkout,08:00,22:00
2025-10-20,Management,08:00,22:00
2025-10-21,Storage,06:00,23:00
2025-10-21,Checkout,08:00,22:00
2025-10-21,Management,08:00,22:00
2025-10-22,Storage,06:00,23:00
2025-10-22,Checkout,08:00,22:00
2025-10-22,Management,08:00,22:00
2025-10-23,Storage,06:00,23:00
2025-10-23,Checkout,08:00,22:00
2025-10-23,Management,08:00,22:00
2025-10-24,Storage,06:00,23:00
2025-10-24,Checkout,08:00,22:00
2025-10-24,Management,08:00,22:00
2025-10-25,Storage,07:00,21:00
2025-10-25,Checkout,09:00,20:00
2025-10-25,Management,09:00,20:00
2025-10-26,Storage,07:00,20:00
2025-10-26,Checkout,10:00,20:00
2025-10-26,Management,10:00,20:00
2025-10-27,Storage,06:00,23:00
2025-10-27,Checkout,08:00,22:00
2025-10-27,Management,08:00,22:00
2025-10-28,Storage,06:00,23:00
2025-10-28,Checkout,08:00,22:00
2025-10-28,Management,08:00,22:00
2025-10-29,Storage,06:00,23:00
2025-10-29,Checkout,08:00,22:00
2025-10-29,Management,08:00,22:00
2025-10-30,Storage,06:00,23:00
2025-10-30,Checkout,08:00,22:00
2025-10-30,Management,08:00,22:00
2025-10-31,Storage,06:00,23:00
2025-10-31,Checkout,08:00,22:00
2025-10-31,Management,08:00,22:00
