date,workPeriod,team,minimum,ideal,estimated
2030-10-01,MORNING,TeamA,1,2,2
2030-10-01,AFTERNOON,TeamA,1,2,2
2030-10-01,NIGHT,TeamA,1,1,1
2030-10-02,MORNING,TeamA,1,2,2
2030-10-02,AFTERNOON,TeamA,1,2,2
2030-10-02,NIGHT,TeamA,1,1,1
2030-10-03,MORNING,TeamA,1,2,2
2030-10-03,AFTERNOON,TeamA,1,2,2
2030-10-03,NIGHT,TeamA,1,1,1
2030-10-04,MORNING,TeamA,1,2,2
2030-10-04,AFTERNOON,TeamA,1,2,2
2030-10-04,NIGHT,TeamA,1,1,1
2030-10-05,MORNING,TeamA,1,2,2
2030-10-05,AFTERNOON,TeamA,1,2,2
2030-10-05,NIGHT,TeamA,1,1,1
2030-10-06,MORNING,TeamA,1,2,2
2030-10-06,AFTERNOON,TeamA,1,2,2
2030-10-06,NIGHT,TeamA,1,1,1
2030-10-07,MORNING,TeamA,1,2,2
2030-10-07,AFTERNOON,TeamA,1,2,2
2030-10-07,NIGHT,TeamA,1,1,1
