date,workPeriod,competency,minimum,empiric,maximum,start,end
2025-10-01,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-01,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-01,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-01,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-01,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-01,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-01,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-01,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-01,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-02,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-02,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-02,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-02,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-02,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-02,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-02,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-02,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-02,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-03,STORAGE_0830_1530,Storage,1,1,1,,
2025-10-03,CHECKOUT_1000_1100,Checkout,1,1,1,,
2025-10-03,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-03,CHECKOUT_2100_2200,Checkout,1,1,1,,
2025-10-03,MANAGEMENT_1000_1100,Management,1,1,1,,
2025-10-03,MANAGEMENT_1100_1400,Management,1,1,1,,
2025-10-03,MANAGEMENT_1400_1900,Management,1,1,1,,
2025-10-03,MANAGEMENT_1900_2100,Management,1,1,1,,
2025-10-03,MANAGEMENT_2100_2200,Management,1,1,1,,
2025-10-04,CHECKOUT_1100_2100,Checkout,1,1,1,,
2025-10-04,MANAGEMENT_1100_1400,Management,1,1,1,,
