employee_id,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09,2025-10-10,2025-10-11,2025-10-12,2025-10-13,2025-10-14,2025-10-15,2025-10-16,2025-10-17,2025-10-18,2025-10-19,2025-10-20,2025-10-21,2025-10-22,2025-10-23,2025-10-24,2025-10-25,2025-10-26,2025-10-27,2025-10-28,2025-10-29,2025-10-30,2025-10-31
20072412,480,480,480,480,DO,480,DO,480,480,480,480,DO,VAC,VAC,VAC,VAC,VAC,VAC,VAC,480,DO,480,480,480,480,DO,480,480,480,480,480
20066543,DO,480,480,480,DO,480,480,480,DO,480,480,DO,480,480,480,DO,480,480,DO,VAC,VAC,VAC,VAC,VAC,VAC,VAC,480,480,480,DO,480
20067009,DO,300,DO,300,300,300,DO,300,300,300,DO,300,300,300,DO,300,DO,300,300,300,300,DO,300,DO,300,300,300,300,DO,300,DO
20054956,240,240,240,240,NOT,240,240,240,240,240,DO,DO,DO,240,240,240,240,240,DO,DO,240,240,240,240,240,DO,VAC,VAC,VAC,VAC,VAC
20056459,240,240,240,240,240,DO,EQUALS:10:00-14:00,240,240,FDO,240,240,DO,DO,240,240,240,240,240,DO,DO,240,240,240,240,240,DO,DO,240,240,240
20062688,240,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,240,240,240,240,DO,240,DO,240,240,240,240,DO,240,DO,VAC,VAC,VAC,VAC,VAC
20067696,240,DO,240,240,DO,240,240,240,240,240,DO,240,240,DO,240,DO,240,240,240,240,DO,240,DO,240,240,240,240,DO,240,DO,240
20058959,NOT,240,240,DO,DO,240,240,240,240,240,DO,DO,240,240,240,240,240,DO,DO,240,240,240,240,240,DO,DO,240,240,240,240,240
20068397,DO,DO,240,240,240,DO,DO,DO,DO,240,240,240,DO,DO,DO,DO,240,240,240,DO,DO,DO,DO,240,240,240,DO,DO,DO,DO,240
20038706,DO,DO,DO,300,300,DO,DO,DO,DO,DO,300,300,DO,DO,DO,DO,DO,300,300,DO,DO,DO,DO,DO,300,300,DO,DO,DO,DO,DO
20066338,DO,DO,DO,EQUALS:11:00-16:00,300,DO,DO,DO,DO,DO,300,300,DO,DO,DO,DO,DO,300,300,DO,DO,DO,DO,DO,300,300,DO,DO,DO,DO,DO
900027719,DO,DO,DO,300,300,DO,DO,DO,DO,DO,300,300,DO,DO,DO,DO,DO,300,300,DO,DO,DO,DO,DO,300,300,DO,DO,DO,DO,DO
20051291,420,420,420,DO,DO,420,420,420,420,420,DO,DO,420,420,420,420,420,DO,DO,420,420,420,420,420,DO,DO,NOT,VAC,VAC,VAC,VAC
20055066,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,240,DO,240,DO,240,240,240,240,DO,240,DO,240,240,240,240,DO,240,DO,240
900027718,DO,DO,240,240,240,DO,DO,DO,DO,240,240,240,DO,DO,DO,DO,240,240,240,DO,DO,DO,DO,240,240,240,DO,DO,DO,DO,240
