date,tableName,tableValue,minimum,ideal,estimated,start,end
2026-01-01,Team,T1,2,0,0,10:00,11:00
2026-01-01,Team,T1,3,0,0,11:00,13:00
2026-01-01,Team,T1,3,0,0,13:00,14:00
2026-01-01,Team,T1,2,0,0,14:00,17:00
2026-01-01,Team,T1,3,0,0,17:00,20:00
2026-01-01,Team,T1,3,0,0,20:00,21:00
2026-01-01,Team,T1,2,0,0,21:00,22:00
2026-01-01,Responsibility,A,1,0,0,08:30,15:30
2026-01-01,Responsibility,C,1,0,0,10:00,22:00
2026-01-01,Responsibility,G,1,0,0,10:00,22:00
2026-01-02,Team,T1,2,0,0,10:00,11:00
2026-01-02,Team,T1,3,0,0,11:00,13:00
2026-01-02,Team,T1,3,0,0,13:00,14:00
2026-01-02,Team,T1,2,0,0,14:00,15:00
2026-01-02,Team,T1,2,0,0,15:00,17:00
2026-01-02,Team,T1,3,0,0,17:00,18:00
2026-01-02,Team,T1,3,0,0,18:00,20:00
2026-01-02,Team,T1,3,0,0,20:00,21:00
2026-01-02,Team,T1,2,0,0,21:00,22:00
2026-01-02,Responsibility,A,1,0,0,08:30,15:30
2026-01-02,Responsibility,C,1,0,0,10:00,22:00
2026-01-02,Responsibility,G,1,0,0,10:00,22:00
2026-01-03,Team,T1,2,0,0,11:00,12:00
2026-01-03,Team,T1,2,0,0,12:00,13:00
2026-01-03,Team,T1,2,0,0,13:00,14:00
2026-01-03,Team,T1,2,0,0,14:00,15:00
2026-01-03,Team,T1,2,0,0,15:00,16:00
2026-01-03,Team,T1,2,0,0,16:00,17:00
2026-01-03,Team,T1,2,0,0,17:00,18:00
2026-01-03,Team,T1,2,0,0,18:00,20:00
2026-01-03,Team,T1,2,0,0,20:00,21:00
2026-01-03,Responsibility,C,1,0,0,11:00,21:00
2026-01-03,Responsibility,G,1,0,0,11:00,21:00
2026-01-04,Team,T1,2,0,0,10:00,11:00
2026-01-04,Team,T1,3,0,0,11:00,14:00
2026-01-04,Team,T1,2,0,0,14:00,17:00
2026-01-04,Team,T1,3,0,0,17:00,21:00
2026-01-04,Team,T1,2,0,0,21:00,22:00
2026-01-04,Responsibility,C,1,0,0,11:00,21:00
2026-01-04,Responsibility,G,1,0,0,11:00,14:00
2026-01-04,Responsibility,G,1,0,0,19:00,21:00
2026-01-05,Team,T1,2,0,0,10:00,11:00
2026-01-05,Team,T1,3,0,0,11:00,14:00
2026-01-05,Team,T1,2,0,0,14:00,17:00
2026-01-05,Team,T1,3,0,0,17:00,18:00
2026-01-05,Team,T1,3,0,0,18:00,19:30
2026-01-05,Team,T1,3,0,0,19:30,21:00
2026-01-05,Team,T1,2,0,0,21:00,22:00
2026-01-05,Responsibility,A,1,0,0,08:30,15:30
2026-01-05,Responsibility,C,1,0,0,10:00,22:00
2026-01-05,Responsibility,G,1,0,0,10:00,22:00
2026-01-06,Team,T1,2,0,0,10:00,11:00
2026-01-06,Team,T1,3,0,0,11:00,14:00
2026-01-06,Team,T1,2,0,0,14:00,17:00
2026-01-06,Team,T1,3,0,0,17:00,20:00
2026-01-06,Team,T1,3,0,0,20:00,21:00
2026-01-06,Team,T1,2,0,0,21:00,22:00
2026-01-06,Responsibility,A,1,0,0,08:30,15:30
2026-01-06,Responsibility,C,1,0,0,10:00,22:00
2026-01-06,Responsibility,G,1,0,0,10:00,22:00
2026-01-07,Team,T1,2,0,0,10:00,11:00
2026-01-07,Team,T1,3,0,0,11:00,14:00
2026-01-07,Team,T1,2,0,0,14:00,17:00
2026-01-07,Team,T1,3,0,0,17:00,18:30
2026-01-07,Team,T1,3,0,0,18:30,20:00
2026-01-07,Team,T1,3,0,0,20:00,21:00
2026-01-07,Team,T1,2,0,0,21:00,22:00
2026-01-07,Responsibility,A,1,0,0,08:30,15:30
2026-01-07,Responsibility,C,1,0,0,10:00,22:00
2026-01-07,Responsibility,G,1,0,0,10:00,22:00
2026-01-08,Team,T1,2,0,0,10:00,11:00
2026-01-08,Team,T1,3,0,0,11:00,13:00
2026-01-08,Team,T1,3,0,0,13:00,14:00
2026-01-08,Team,T1,2,0,0,14:00,17:00
2026-01-08,Team,T1,3,0,0,17:00,20:00
2026-01-08,Team,T1,3,0,0,20:00,21:00
2026-01-08,Team,T1,2,0,0,21:00,22:00
2026-01-08,Responsibility,A,1,0,0,08:30,15:30
2026-01-08,Responsibility,C,1,0,0,10:00,22:00
2026-01-08,Responsibility,G,1,0,0,10:00,22:00
2026-01-09,Team,T1,2,0,0,10:00,11:00
2026-01-09,Team,T1,3,0,0,11:00,13:00
2026-01-09,Team,T1,3,0,0,13:00,14:00
