code,description,scheduleWeightMinutes,startMin,endMin
1,Espaço,0,,
3,Day off,0,,
4,Vazio,0,,
1013,21:00-00:00,180,1260,1440
100000,00:00-03:00,180,0,180
100944,00:15-03:15,180,15,195
101888,00:30-03:30,180,30,210
102832,00:45-03:45,180,45,225
103776,01:00-04:00,180,60,240
104720,01:15-04:15,180,75,255
105664,01:30-04:30,180,90,270
106608,01:45-04:45,180,105,285
107552,02:00-05:00,180,120,300
108496,02:15-05:15,180,135,315
109440,02:30-05:30,180,150,330
110384,02:45-05:45,180,165,345
111328,03:00-06:00,180,180,360
112272,03:15-06:15,180,195,375
113216,03:30-06:30,180,210,390
114160,03:45-06:45,180,225,405
115104,04:00-07:00,180,240,420
116048,04:15-07:15,180,255,435
116992,04:30-07:30,180,270,450
117936,04:45-07:45,180,285,465
118880,05:00-08:00,180,300,480
119824,05:15-08:15,180,315,495
120768,05:30-08:30,180,330,510
121712,05:45-08:45,180,345,525
122656,06:00-09:00,180,360,540
123600,06:15-09:15,180,375,555
124544,06:30-09:30,180,390,570
125488,06:45-09:45,180,405,585
126432,07:00-10:00,180,420,600
127376,07:15-10:15,180,435,615
128320,07:30-10:30,180,450,630
129264,07:45-10:45,180,465,645
130208,08:00-11:00,180,480,660
131152,08:15-11:15,180,495,675
132096,08:30-11:30,180,510,690
133040,08:45-11:45,180,525,705
133984,09:00-12:00,180,540,720
134928,09:15-12:15,180,555,735
135872,09:30-12:30,180,570,750
136816,09:45-12:45,180,585,765
137760,10:00-13:00,180,600,780
138704,10:15-13:15,180,615,795
139648,10:30-13:30,180,630,810
140592,10:45-13:45,180,645,825
141536,11:00-14:00,180,660,840
142480,11:15-14:15,180,675,855
143424,11:30-14:30,180,690,870
144368,11:45-14:45,180,705,885
145312,12:00-15:00,180,720,900
146256,12:15-15:15,180,735,915
147200,12:30-15:30,180,750,930
148144,12:45-15:45,180,765,945
149088,13:00-16:00,180,780,960
150032,13:15-16:15,180,795,975
150976,13:30-16:30,180,810,990
151920,13:45-16:45,180,825,1005
152864,14:00-17:00,180,840,1020
153808,14:15-17:15,180,855,1035
154752,14:30-17:30,180,870,1050
155696,14:45-17:45,180,885,1065
156640,15:00-18:00,180,900,1080
157584,15:15-18:15,180,915,1095
158528,15:30-18:30,180,930,1110
159472,15:45-18:45,180,945,1125
160416,16:00-19:00,180,960,1140
161360,16:15-19:15,180,975,1155
162304,16:30-19:30,180,990,1170
163248,16:45-19:45,180,1005,1185
164192,17:00-20:00,180,1020,1200
165136,17:15-20:15,180,1035,1215
166080,17:30-20:30,180,1050,1230
167024,17:45-20:45,180,1065,1245
167968,18:00-21:00,180,1080,1260
168912,18:15-21:15,180,1095,1275
169856,18:30-21:30,180,1110,1290
170800,18:45-21:45,180,1125,1305
171744,19:00-22:00,180,1140,1320
172688,19:15-22:15,180,1155,1335
173632,19:30-22:30,180,1170,1350
174576,19:45-22:45,180,1185,1365
175520,20:00-23:00,180,1200,1380
176464,20:15-23:15,180,1215,1395
177408,20:30-23:30,180,1230,1410
178352,20:45-23:45,180,1245,1425
179296,21:00-00:00,180,1260,1440
180240,21:15-00:15,180,1275,1455
181184,21:30-00:30,180,1290,1470
182128,21:45-00:45,180,1305,1485
183072,22:00-01:00,180,1320,1500
184016,22:15-01:15,180,1335,1515
184960,22:30-01:30,180,1350,1530
185904,22:45-01:45,180,1365,1545
186848,23:00-02:00,180,1380,1560
187792,23:15-02:15,180,1395,1575
188736,23:30-02:30,180,1410,1590
189680,23:45-02:45,180,1425,1605
189681,23:45-03:00,195,1425,1620
188737,23:30-02:45,195,1410,1605
187793,23:15-02:30,195,1395,1590
186849,23:00-02:15,195,1380,1575
185905,22:45-02:00,195,1365,1560
184961,22:30-01:45,195,1350,1545
184017,22:15-01:30,195,1335,1530
183073,22:00-01:15,195,1320,1515
182129,21:45-01:00,195,1305,1500
181185,21:30-00:45,195,1290,1485
180241,21:15-00:30,195,1275,1470
179297,21:00-00:15,195,1260,1455
178353,20:45-00:00,195,1245,1440
177409,20:30-23:45,195,1230,1425
176465,20:15-23:30,195,1215,1410
175521,20:00-23:15,195,1200,1395
174577,19:45-23:00,195,1185,1380
173633,19:30-22:45,195,1170,1365
172689,19:15-22:30,195,1155,1350
171745,19:00-22:15,195,1140,1335
170801,18:45-22:00,195,1125,1320
169857,18:30-21:45,195,1110,1305
168913,18:15-21:30,195,1095,1290
167969,18:00-21:15,195,1080,1275
167025,17:45-21:00,195,1065,1260
166081,17:30-20:45,195,1050,1245
165137,17:15-20:30,195,1035,1230
164193,17:00-20:15,195,1020,1215
163249,16:45-20:00,195,1005,1200
162305,16:30-19:45,195,990,1185
161361,16:15-19:30,195,975,1170
160417,16:00-19:15,195,960,1155
159473,15:45-19:00,195,945,1140
158529,15:30-18:45,195,930,1125
157585,15:15-18:30,195,915,1110
156641,15:00-18:15,195,900,1095
