Title                              | missedTeamMin | missedTeamIdeal | shiftBalance | teamSatisfaction
ILPv2_Scenario_2Teams_Case1         | 103           | 488             | 39.69        | 91.63
ILPv2_Scenario_2Teams_Case2         | 103           | 488             | 40.36        | 91.87
ILPv2_Scenario_2Teams_Case3         | 103           | 488             | 46.41        | 91.57
ILPv2_Scenario_2Teams_Case4         | 103           | 674             | 38.34        | 91.44
ILPv2_Scenario_4Teams_Case1         | 215           | 976             | 37.67        | 91.77
ILPv2_Scenario_4Teams_Case2         | 215           | 976             | 40.36        | 92.06
ILPv2_Scenario_4Teams_Case3         | 215           | 976             | 43.05        | 91.82
ILPv2_Scenario_4Teams_Case4         | 216           | 1378            | 41.03        | 92.05
ILPv2_Scenario_8Teams_Case1         | 412           | 1952            | 42.38        | 91.66
ILPv2_Scenario_8Teams_Case2         | 412           | 1952            | 41.03        | 91.70
ILPv2_Scenario_8Teams_Case3         | 412           | 1952            | 37.00        | 91.71
ILPv2_Scenario_8Teams_Case4         | 492           | 2783            | 37.67        | 91.63

