date,shift,team,minimum,ideal,estimated
2025-01-01,M,A,2,2,2
2025-01-01,T,A,2,2,2
2025-01-01,M,B,1,1,1
2025-01-01,T,B,1,1,1
2025-01-02,M,A,2,2,2
2025-01-02,T,A,2,2,2
2025-01-02,M,B,1,1,1
2025-01-02,T,B,1,1,1
2025-01-03,M,A,2,3,3
2025-01-03,T,A,2,3,3
2025-01-03,M,B,1,1,1
2025-01-03,T,B,1,2,2
2025-01-04,M,A,2,3,3
2025-01-04,T,A,2,3,3
2025-01-04,M,B,1,1,1
2025-01-04,T,B,1,2,2
2025-01-05,M,A,1,2,2
2025-01-05,T,A,1,2,2
2025-01-05,M,B,1,1,1
2025-01-05,T,B,1,1,1
2025-01-06,M,A,2,2,2
2025-01-06,T,A,2,2,2
2025-01-06,M,B,1,1,1
2025-01-06,T,B,1,1,1
2025-01-07,M,A,2,2,2
2025-01-07,T,A,2,2,2
2025-01-07,M,B,1,1,1
2025-01-07,T,B,1,1,1
2025-01-08,M,A,2,2,2
2025-01-08,T,A,2,2,2
2025-01-08,M,B,1,1,1
2025-01-08,T,B,1,1,1
2025-01-09,M,A,2,2,2
2025-01-09,T,A,2,2,2
2025-01-09,M,B,1,1,1
2025-01-09,T,B,1,1,1
2025-01-10,M,A,2,3,3
2025-01-10,T,A,2,3,3
2025-01-10,M,B,1,1,1
2025-01-10,T,B,1,2,2
2025-01-11,M,A,2,3,3
2025-01-11,T,A,2,3,3
2025-01-11,M,B,1,1,1
2025-01-11,T,B,1,2,2
2025-01-12,M,A,1,2,2
2025-01-12,T,A,1,2,2
2025-01-12,M,B,1,1,1
2025-01-12,T,B,1,1,1
2025-01-13,M,A,2,2,2
2025-01-13,T,A,2,2,2
2025-01-13,M,B,1,1,1
2025-01-13,T,B,1,1,1
2025-01-14,M,A,2,2,2
2025-01-14,T,A,2,2,2
2025-01-14,M,B,1,1,1
2025-01-14,T,B,1,1,1
2025-01-15,M,A,2,2,2
2025-01-15,T,A,2,2,2
2025-01-15,M,B,1,1,1
2025-01-15,T,B,1,1,1
2025-01-16,M,A,2,2,2
2025-01-16,T,A,2,2,2
2025-01-16,M,B,1,1,1
2025-01-16,T,B,1,1,1
2025-01-17,M,A,2,3,3
2025-01-17,T,A,2,3,3
2025-01-17,M,B,1,1,1
2025-01-17,T,B,1,2,2
2025-01-18,M,A,2,3,3
2025-01-18,T,A,2,3,3
2025-01-18,M,B,1,1,1
2025-01-18,T,B,1,2,2
2025-01-19,M,A,1,2,2
2025-01-19,T,A,1,2,2
2025-01-19,M,B,1,1,1
2025-01-19,T,B,1,1,1
2025-01-20,M,A,2,2,2
2025-01-20,T,A,2,2,2
2025-01-20,M,B,1,1,1
2025-01-20,T,B,1,1,1
2025-01-21,M,A,2,2,2
2025-01-21,T,A,2,2,2
2025-01-21,M,B,1,1,1
2025-01-21,T,B,1,1,1
2025-01-22,M,A,2,2,2
2025-01-22,T,A,2,2,2
2025-01-22,M,B,1,1,1
2025-01-22,T,B,1,1,1
2025-01-23,M,A,2,2,2
2025-01-23,T,A,2,2,2
2025-01-23,M,B,1,1,1
2025-01-23,T,B,1,1,1
2025-01-24,M,A,2,3,3
2025-01-24,T,A,2,3,3
2025-01-24,M,B,1,1,1
2025-01-24,T,B,1,2,2
2025-01-25,M,A,2,3,3
2025-01-25,T,A,2,3,3
2025-01-25,M,B,1,1,1
2025-01-25,T,B,1,2,2
2025-01-26,M,A,1,2,2
2025-01-26,T,A,1,2,2
2025-01-26,M,B,1,1,1
2025-01-26,T,B,1,1,1
2025-01-27,M,A,2,2,2
2025-01-27,T,A,2,2,2
2025-01-27,M,B,1,1,1
2025-01-27,T,B,1,1,1
2025-01-28,M,A,2,2,2
2025-01-28,T,A,2,2,2
2025-01-28,M,B,1,1,1
2025-01-28,T,B,1,1,1
2025-01-29,M,A,2,2,2
2025-01-29,T,A,2,2,2
2025-01-29,M,B,1,1,1
2025-01-29,T,B,1,1,1
2025-01-30,M,A,2,2,2
2025-01-30,T,A,2,2,2
2025-01-30,M,B,1,1,1
2025-01-30,T,B,1,1,1
2025-01-31,M,A,2,3,3
2025-01-31,T,A,2,3,3
2025-01-31,M,B,1,1,1
2025-01-31,T,B,1,2,2
2025-02-01,M,A,2,3,3
2025-02-01,T,A,2,3,3
2025-02-01,M,B,1,1,1
2025-02-01,T,B,1,2,2
2025-02-02,M,A,1,2,2
2025-02-02,T,A,1,2,2
2025-02-02,M,B,1,1,1
2025-02-02,T,B,1,1,1
2025-02-03,M,A,2,2,2
2025-02-03,T,A,2,2,2
2025-02-03,M,B,1,1,1
2025-02-03,T,B,1,1,1
2025-02-04,M,A,2,2,2
2025-02-04,T,A,2,2,2
2025-02-04,M,B,1,1,1
2025-02-04,T,B,1,1,1
2025-02-05,M,A,2,2,2
2025-02-05,T,A,2,2,2
2025-02-05,M,B,1,1,1
2025-02-05,T,B,1,1,1
2025-02-06,M,A,2,2,2
2025-02-06,T,A,2,2,2
2025-02-06,M,B,1,1,1
2025-02-06,T,B,1,1,1
2025-02-07,M,A,2,3,3
2025-02-07,T,A,2,3,3
2025-02-07,M,B,1,1,1
2025-02-07,T,B,1,2,2
2025-02-08,M,A,2,3,3
2025-02-08,T,A,2,3,3
2025-02-08,M,B,1,1,1
2025-02-08,T,B,1,2,2
2025-02-09,M,A,1,2,2
2025-02-09,T,A,1,2,2
2025-02-09,M,B,1,1,1
2025-02-09,T,B,1,1,1
2025-02-10,M,A,2,2,2
2025-02-10,T,A,2,2,2
2025-02-10,M,B,1,1,1
2025-02-10,T,B,1,1,1
2025-02-11,M,A,2,2,2
2025-02-11,T,A,2,2,2
2025-02-11,M,B,1,1,1
2025-02-11,T,B,1,1,1
2025-02-12,M,A,2,2,2
2025-02-12,T,A,2,2,2
2025-02-12,M,B,1,1,1
2025-02-12,T,B,1,1,1
2025-02-13,M,A,2,2,2
2025-02-13,T,A,2,2,2
2025-02-13,M,B,1,1,1
2025-02-13,T,B,1,1,1
2025-02-14,M,A,2,3,3
2025-02-14,T,A,2,3,3
2025-02-14,M,B,1,1,1
2025-02-14,T,B,1,2,2
2025-02-15,M,A,2,3,3
2025-02-15,T,A,2,3,3
2025-02-15,M,B,1,1,1
2025-02-15,T,B,1,2,2
2025-02-16,M,A,1,2,2
2025-02-16,T,A,1,2,2
2025-02-16,M,B,1,1,1
2025-02-16,T,B,1,1,1
2025-02-17,M,A,2,2,2
2025-02-17,T,A,2,2,2
2025-02-17,M,B,1,1,1
2025-02-17,T,B,1,1,1
2025-02-18,M,A,2,2,2
2025-02-18,T,A,2,2,2
2025-02-18,M,B,1,1,1
2025-02-18,T,B,1,1,1
2025-02-19,M,A,2,2,2
2025-02-19,T,A,2,2,2
2025-02-19,M,B,1,1,1
2025-02-19,T,B,1,1,1
2025-02-20,M,A,2,2,2
2025-02-20,T,A,2,2,2
2025-02-20,M,B,1,1,1
2025-02-20,T,B,1,1,1
2025-02-21,M,A,2,3,3
2025-02-21,T,A,2,3,3
2025-02-21,M,B,1,1,1
2025-02-21,T,B,1,2,2
2025-02-22,M,A,2,3,3
2025-02-22,T,A,2,3,3
2025-02-22,M,B,1,1,1
2025-02-22,T,B,1,2,2
2025-02-23,M,A,1,2,2
2025-02-23,T,A,1,2,2
2025-02-23,M,B,1,1,1
2025-02-23,T,B,1,1,1
2025-02-24,M,A,2,2,2
2025-02-24,T,A,2,2,2
2025-02-24,M,B,1,1,1
2025-02-24,T,B,1,1,1
2025-02-25,M,A,2,2,2
2025-02-25,T,A,2,2,2
2025-02-25,M,B,1,1,1
2025-02-25,T,B,1,1,1
2025-02-26,M,A,2,2,2
2025-02-26,T,A,2,2,2
2025-02-26,M,B,1,1,1
2025-02-26,T,B,1,1,1
2025-02-27,M,A,2,2,2
2025-02-27,T,A,2,2,2
2025-02-27,M,B,1,1,1
2025-02-27,T,B,1,1,1
2025-02-28,M,A,2,3,3
2025-02-28,T,A,2,3,3
2025-02-28,M,B,1,1,1
2025-02-28,T,B,1,2,2
2025-03-01,M,A,2,3,3
2025-03-01,T,A,2,3,3
2025-03-01,M,B,1,1,1
2025-03-01,T,B,1,2,2
2025-03-02,M,A,1,2,2
2025-03-02,T,A,1,2,2
2025-03-02,M,B,1,1,1
2025-03-02,T,B,1,1,1
2025-03-03,M,A,2,2,2
2025-03-03,T,A,2,2,2
2025-03-03,M,B,1,1,1
2025-03-03,T,B,1,1,1
2025-03-04,M,A,2,2,2
2025-03-04,T,A,2,2,2
2025-03-04,M,B,1,1,1
2025-03-04,T,B,1,1,1
2025-03-05,M,A,2,2,2
2025-03-05,T,A,2,2,2
2025-03-05,M,B,1,1,1
2025-03-05,T,B,1,1,1
2025-03-06,M,A,2,2,2
2025-03-06,T,A,2,2,2
2025-03-06,M,B,1,1,1
2025-03-06,T,B,1,1,1
2025-03-07,M,A,2,3,3
2025-03-07,T,A,2,3,3
2025-03-07,M,B,1,1,1
2025-03-07,T,B,1,2,2
2025-03-08,M,A,2,3,3
2025-03-08,T,A,2,3,3
2025-03-08,M,B,1,1,1
2025-03-08,T,B,1,2,2
2025-03-09,M,A,1,2,2
2025-03-09,T,A,1,2,2
2025-03-09,M,B,1,1,1
2025-03-09,T,B,1,1,1
2025-03-10,M,A,2,2,2
2025-03-10,T,A,2,2,2
2025-03-10,M,B,1,1,1
2025-03-10,T,B,1,1,1
2025-03-11,M,A,2,2,2
2025-03-11,T,A,2,2,2
2025-03-11,M,B,1,1,1
2025-03-11,T,B,1,1,1
2025-03-12,M,A,2,2,2
2025-03-12,T,A,2,2,2
2025-03-12,M,B,1,1,1
2025-03-12,T,B,1,1,1
2025-03-13,M,A,2,2,2
2025-03-13,T,A,2,2,2
2025-03-13,M,B,1,1,1
2025-03-13,T,B,1,1,1
2025-03-14,M,A,2,3,3
2025-03-14,T,A,2,3,3
2025-03-14,M,B,1,1,1
2025-03-14,T,B,1,2,2
2025-03-15,M,A,2,3,3
2025-03-15,T,A,2,3,3
2025-03-15,M,B,1,1,1
2025-03-15,T,B,1,2,2
2025-03-16,M,A,1,2,2
2025-03-16,T,A,1,2,2
2025-03-16,M,B,1,1,1
2025-03-16,T,B,1,1,1
2025-03-17,M,A,2,2,2
2025-03-17,T,A,2,2,2
2025-03-17,M,B,1,1,1
2025-03-17,T,B,1,1,1
2025-03-18,M,A,2,2,2
2025-03-18,T,A,2,2,2
2025-03-18,M,B,1,1,1
2025-03-18,T,B,1,1,1
2025-03-19,M,A,2,2,2
2025-03-19,T,A,2,2,2
2025-03-19,M,B,1,1,1
2025-03-19,T,B,1,1,1
2025-03-20,M,A,2,2,2
2025-03-20,T,A,2,2,2
2025-03-20,M,B,1,1,1
2025-03-20,T,B,1,1,1
2025-03-21,M,A,2,3,3
2025-03-21,T,A,2,3,3
2025-03-21,M,B,1,1,1
2025-03-21,T,B,1,2,2
2025-03-22,M,A,2,3,3
2025-03-22,T,A,2,3,3
2025-03-22,M,B,1,1,1
2025-03-22,T,B,1,2,2
2025-03-23,M,A,1,2,2
2025-03-23,T,A,1,2,2
2025-03-23,M,B,1,1,1
2025-03-23,T,B,1,1,1
2025-03-24,M,A,2,2,2
2025-03-24,T,A,2,2,2
2025-03-24,M,B,1,1,1
2025-03-24,T,B,1,1,1
2025-03-25,M,A,2,2,2
2025-03-25,T,A,2,2,2
2025-03-25,M,B,1,1,1
2025-03-25,T,B,1,1,1
2025-03-26,M,A,2,2,2
2025-03-26,T,A,2,2,2
2025-03-26,M,B,1,1,1
2025-03-26,T,B,1,1,1
2025-03-27,M,A,2,2,2
2025-03-27,T,A,2,2,2
2025-03-27,M,B,1,1,1
2025-03-27,T,B,1,1,1
2025-03-28,M,A,2,3,3
2025-03-28,T,A,2,3,3
2025-03-28,M,B,1,1,1
2025-03-28,T,B,1,2,2
2025-03-29,M,A,2,3,3
2025-03-29,T,A,2,3,3
2025-03-29,M,B,1,1,1
2025-03-29,T,B,1,2,2
2025-03-30,M,A,1,2,2
2025-03-30,T,A,1,2,2
2025-03-30,M,B,1,1,1
2025-03-30,T,B,1,1,1
2025-03-31,M,A,2,2,2
2025-03-31,T,A,2,2,2
2025-03-31,M,B,1,1,1
2025-03-31,T,B,1,1,1
2025-04-01,M,A,2,2,2
2025-04-01,T,A,2,2,2
2025-04-01,M,B,1,1,1
2025-04-01,T,B,1,1,1
2025-04-02,M,A,2,2,2
2025-04-02,T,A,2,2,2
2025-04-02,M,B,1,1,1
2025-04-02,T,B,1,1,1
2025-04-03,M,A,2,2,2
2025-04-03,T,A,2,2,2
2025-04-03,M,B,1,1,1
2025-04-03,T,B,1,1,1
2025-04-04,M,A,2,3,3
2025-04-04,T,A,2,3,3
2025-04-04,M,B,1,1,1
2025-04-04,T,B,1,2,2
2025-04-05,M,A,2,3,3
2025-04-05,T,A,2,3,3
2025-04-05,M,B,1,1,1
2025-04-05,T,B,1,2,2
2025-04-06,M,A,1,2,2
2025-04-06,T,A,1,2,2
2025-04-06,M,B,1,1,1
2025-04-06,T,B,1,1,1
2025-04-07,M,A,2,2,2
2025-04-07,T,A,2,2,2
2025-04-07,M,B,1,1,1
2025-04-07,T,B,1,1,1
2025-04-08,M,A,2,2,2
2025-04-08,T,A,2,2,2
2025-04-08,M,B,1,1,1
2025-04-08,T,B,1,1,1
2025-04-09,M,A,2,2,2
2025-04-09,T,A,2,2,2
2025-04-09,M,B,1,1,1
2025-04-09,T,B,1,1,1
2025-04-10,M,A,2,2,2
2025-04-10,T,A,2,2,2
2025-04-10,M,B,1,1,1
2025-04-10,T,B,1,1,1
2025-04-11,M,A,2,3,3
2025-04-11,T,A,2,3,3
2025-04-11,M,B,1,1,1
2025-04-11,T,B,1,2,2
2025-04-12,M,A,2,3,3
