crossover_type,mutation_type,run,best_fitness,min_coverage_unmet,ideal_coverage_unmet,stopped_at_gen,elapsed_s
row_swap,respect_constraints,1,-3110.0,29,210,947,526.7
row_swap,respect_constraints,2,-3225.0,30,225,906,504.6
row_swap,respect_constraints,3,-3212.0,30,212,944,526.4
row_swap,respect_constraints,4,-3509.0,33,209,849,472.0
row_swap,respect_constraints,5,-3518.0,33,218,989,551.1
row_swap,demand_guided,1,-2873.0,27,173,566,311.5
row_swap,demand_guided,2,-3158.0,30,158,618,342.6
row_swap,demand_guided,3,-3571.0,34,171,568,315.6
row_swap,demand_guided,4,-3258.0,31,158,609,336.7
row_swap,demand_guided,5,-2955.0,28,155,661,365.6
row_swap,swap,1,-15984.0,156,384,1000,561.4
row_swap,swap,2,-17802.0,174,402,1000,562.3
row_swap,swap,3,-16790.0,164,390,1000,561.1
row_swap,swap,4,-16896.0,165,396,1000,560.3
row_swap,swap,5,-15779.0,154,379,1000,562.4
row_swap,both,1,-11428.0,111,328,1000,615.0
row_swap,both,2,-11548.0,112,348,983,604.7
row_swap,both,3,-11041.0,107,341,872,536.1
row_swap,both,4,-12756.0,124,356,737,454.2
row_swap,both,5,-11237.0,109,337,832,513.2
nbts,respect_constraints,1,-3588.0,34,188,574,343.5
nbts,respect_constraints,2,-3169.0,30,169,727,434.7
nbts,respect_constraints,3,-3477.0,33,177,670,401.4
nbts,respect_constraints,4,-3576.0,34,176,632,378.7
nbts,respect_constraints,5,-3774.0,36,174,627,374.2
nbts,demand_guided,1,-2754.0,26,154,438,264.1
nbts,demand_guided,2,-2853.0,27,153,456,273.9
nbts,demand_guided,3,-3553.0,34,153,447,267.3
nbts,demand_guided,4,-3147.0,30,147,551,326.4
nbts,demand_guided,5,-3255.0,31,155,477,282.9
nbts,swap,1,-10871.0,106,271,1000,600.0
nbts,swap,2,-11463.0,112,263,1000,604.9
nbts,swap,3,-9869.0,96,269,1000,610.2
nbts,swap,4,-11477.0,112,277,1000,599.6
nbts,swap,5,-10275.0,100,275,1000,600.2
nbts,both,1,-5427.0,52,227,727,476.3
nbts,both,2,-5522.0,53,222,738,484.2
nbts,both,3,-5204.0,50,204,914,598.8
nbts,both,4,-5736.0,55,236,661,434.0
nbts,both,5,-5719.0,55,219,712,476.2
day_point,respect_constraints,1,-4252.0,40,252,1000,603.6
day_point,respect_constraints,2,-4058.0,38,258,863,517.8
day_point,respect_constraints,3,-3948.0,37,248,1000,597.5
day_point,respect_constraints,4,-3241.0,30,241,946,565.7
day_point,respect_constraints,5,-3654.0,34,254,1000,597.5
day_point,demand_guided,1,-3266.0,31,166,665,392.8
day_point,demand_guided,2,-3067.0,29,167,628,372.2
day_point,demand_guided,3,-3261.0,31,161,662,390.0
day_point,demand_guided,4,-2966.0,28,166,687,408.1
day_point,demand_guided,5,-2971.0,28,171,722,426.7
day_point,swap,1,-11352.0,110,352,1000,608.8
day_point,swap,2,-10420.0,101,320,1000,609.3
day_point,swap,3,-11043.0,107,343,1000,609.3
day_point,swap,4,-11040.0,107,340,1000,612.6
day_point,swap,5,-11837.0,115,337,832,512.7
day_point,both,1,-12847.0,125,347,1000,676.8
day_point,both,2,-14881.0,145,381,799,536.2
day_point,both,3,-13765.0,134,365,1000,677.7
day_point,both,4,-13253.0,129,353,1000,672.9
day_point,both,5,-12958.0,126,358,991,663.4
