run,best_fitness,min_coverage_unmet,ideal_coverage_unmet,stopped_at_gen,elapsed_s,viol_vacation,viol_workday,viol_window,viol_special,viol_backward
1,-44767.0,418,2967,556,1590.3,0,0,0,0,0
2,-44549.0,417,2849,875,2487.6,0,0,0,0,0
3,-44677.0,418,2877,711,2010.5,0,0,0,0,0
4,-44584.0,416,2984,543,1536.1,0,0,0,0,0
5,-44524.0,416,2924,696,1968.7,0,0,0,0,0
6,-44852.0,418,3052,512,1447.4,0,0,0,0,0
7,-44859.0,419,2959,566,1592.5,0,0,0,0,0
8,-44868.0,419,2968,612,1722.4,0,0,0,0,0
9,-45132.0,420,3132,415,1175.3,0,0,0,0,0
10,-44686.0,417,2986,563,1590.6,0,0,0,0,0
