pop_size,gene_mut_prob,tournament_size,run,best_fitness,min_coverage_unmet,ideal_coverage_unmet,stopped_at_gen,elapsed_s
100,0.0005,3,1,-3954.0,38,154,652,246.5
100,0.0005,3,2,-3269.0,31,169,663,248.7
100,0.0005,3,3,-3372.0,32,172,598,225.3
100,0.0005,5,1,-3460.0,33,160,611,229.7
100,0.0005,5,2,-3778.0,36,178,494,186.5
100,0.0005,5,3,-3980.0,38,180,482,181.0
100,0.0005,7,1,-3066.0,29,166,580,218.5
100,0.0005,7,2,-3063.0,29,163,512,192.5
100,0.0005,7,3,-3562.0,34,162,552,207.8
100,0.001,3,1,-3363.0,32,163,546,210.6
100,0.001,3,2,-3456.0,33,156,579,223.5
100,0.001,3,3,-2838.0,27,138,724,278.7
100,0.001,5,1,-3348.0,32,148,590,227.5
100,0.001,5,2,-3658.0,35,158,525,202.5
100,0.001,5,3,-3762.0,36,162,454,175.3
100,0.001,7,1,-3258.0,31,158,472,182.1
100,0.001,7,2,-3160.0,30,160,518,200.2
100,0.001,7,3,-3255.0,31,155,486,187.4
100,0.003,3,1,-2772.0,26,172,502,211.5
100,0.003,3,2,-3070.0,29,170,467,197.0
100,0.003,3,3,-3063.0,29,163,498,209.9
100,0.003,5,1,-2979.0,28,179,375,158.1
100,0.003,5,2,-2565.0,24,165,447,188.0
100,0.003,5,3,-2955.0,28,155,491,206.5
100,0.003,7,1,-3060.0,29,160,437,184.0
100,0.003,7,2,-2863.0,27,163,409,172.2
100,0.003,7,3,-2962.0,28,162,396,166.9
150,0.0005,3,1,-3662.0,35,162,562,321.4
150,0.0005,3,2,-3361.0,32,161,652,373.3
150,0.0005,3,3,-3555.0,34,155,669,382.2
150,0.0005,5,1,-3459.0,33,159,550,315.0
150,0.0005,5,2,-4258.0,41,158,532,304.3
150,0.0005,5,3,-3358.0,32,158,556,317.8
150,0.0005,7,1,-3664.0,35,164,492,282.6
150,0.0005,7,2,-3364.0,32,164,468,268.8
150,0.0005,7,3,-4071.0,39,171,459,264.4
150,0.001,3,1,-3051.0,29,151,552,325.4
150,0.001,3,2,-3149.0,30,149,536,315.8
150,0.001,3,3,-3245.0,31,145,576,339.3
150,0.001,5,1,-2750.0,26,150,563,331.4
150,0.001,5,2,-3852.0,37,152,507,298.6
150,0.001,5,3,-2752.0,26,152,456,268.6
150,0.001,7,1,-3556.0,34,156,439,258.9
150,0.001,7,2,-2844.0,27,144,550,323.8
150,0.001,7,3,-3054.0,29,154,466,274.8
150,0.003,3,1,-2979.0,28,179,372,238.9
150,0.003,3,2,-2779.0,26,179,415,266.1
150,0.003,3,3,-3168.0,30,168,446,286.6
150,0.003,5,1,-2965.0,28,165,412,263.4
150,0.003,5,2,-2859.0,27,159,433,277.2
150,0.003,5,3,-2650.0,25,150,548,352.6
150,0.003,7,1,-2661.0,25,161,349,224.1
150,0.003,7,2,-2642.0,25,142,564,361.7
150,0.003,7,3,-2253.0,21,153,453,291.6
200,0.0005,3,1,-3443.0,33,143,605,468.4
200,0.0005,3,2,-3367.0,32,167,582,445.8
200,0.0005,3,3,-3454.0,33,154,555,423.6
200,0.0005,5,1,-3060.0,29,160,547,420.9
200,0.0005,5,2,-3054.0,29,154,514,393.3
200,0.0005,5,3,-3260.0,31,160,537,413.2
200,0.0005,7,1,-4065.0,39,165,430,329.2
200,0.0005,7,2,-3157.0,30,157,538,411.1
200,0.0005,7,3,-3662.0,35,162,504,389.1
200,0.001,3,1,-3153.0,30,153,483,378.6
200,0.001,3,2,-3344.0,32,144,684,535.1
200,0.001,3,3,-2963.0,28,163,456,357.9
200,0.001,5,1,-3140.0,30,140,526,412.7
200,0.001,5,2,-2446.0,23,146,485,383.6
200,0.001,5,3,-3347.0,32,147,435,341.1
200,0.001,7,1,-3049.0,29,149,467,366.4
200,0.001,7,2,-2851.0,27,151,441,347.9
200,0.001,7,3,-3154.0,30,154,453,355.9
200,0.003,3,1,-2561.0,24,161,555,472.0
200,0.003,3,2,-2356.0,22,156,524,452.4
200,0.003,3,3,-2865.0,27,165,495,421.4
200,0.003,5,1,-3172.0,30,172,355,304.1
200,0.003,5,2,-2956.0,28,156,437,375.7
200,0.003,5,3,-3168.0,30,168,402,344.0
200,0.003,7,1,-2450.0,23,150,455,389.0
200,0.003,7,2,-2462.0,23,162,392,336.8
200,0.003,7,3,-2251.0,21,151,443,377.7
