Equipa,Mean_Value_minimo,Mean_Value_ideal,Ratio_Ideal_to_Minimo,File,Teams,Total_Rows
Equipa A,1.8575342465753424,2.2849315068493152,1.2300884955752214,minimuns.csv,2,8
Equipa B,1.0,1.1424657534246574,1.1424657534246574,minimuns.csv,2,8
Equipa A,1.0,2.0,2.0,minimuns_4teams_24emp.csv,4,16
Equipa B,1.0,2.0,2.0,minimuns_4teams_24emp.csv,4,16
Equipa C,1.0,2.0,2.0,minimuns_4teams_24emp.csv,4,16
Equipa D,1.0,2.0,2.0,minimuns_4teams_24emp.csv,4,16
Equipa A,1.0,2.0,2.0,minimuns_8teams_48emp.csv,8,32
Equipa B,1.0,2.0,2.0,minimuns_8teams_48emp.csv,8,32
Equipa C,1.0,2.0,2.0,minimuns_8teams_48emp.csv,8,32
Equipa D,1.0,2.0,2.0,minimuns_8teams_48emp.csv,8,32
Equipa E,1.0,2.0,2.0,minimuns_8teams_48emp.csv,8,32
Equipa F,1.0,2.0,2.0,minimuns_8teams_48emp.csv,8,32
Equipa G,1.0,2.0,2.0,minimuns_8teams_48emp.csv,8,32
Equipa H,1.0,2.0,2.0,minimuns_8teams_48emp.csv,8,32
Equipa A,1.0,2.0,2.0,minimuns_16teams_96emp.csv,16,64
Equipa B,1.0,2.0,2.0,minimuns_16teams_96emp.csv,16,64
Equipa C,1.0,2.0,2.0,minimuns_16teams_96emp.csv,16,64
Equipa D,1.0,2.0,2.0,minimuns_16teams_96emp.csv,16,64
Equipa E,1.0,2.0,2.0,minimuns_16teams_96emp.csv,16,64
Equipa F,1.0,2.0,2.0,minimuns_16teams_96emp.csv,16,64
Equipa G,1.0,2.0,2.0,minimuns_16teams_96emp.csv,16,64
Equipa H,1.0,2.0,2.0,minimuns_16teams_96emp.csv,16,64
Equipa I,1.0,2.0,2.0,minimuns_16teams_96emp.csv,16,64
Equipa J,1.0,2.0,2.0,minimuns_16teams_96emp.csv,16,64
Equipa K,1.0,2.0,2.0,minimuns_16teams_96emp.csv,16,64
Equipa L,1.0,2.0,2.0,minimuns_16teams_96emp.csv,16,64
Equipa M,1.0,2.0,2.0,minimuns_16teams_96emp.csv,16,64
Equipa N,1.0,2.0,2.0,minimuns_16teams_96emp.csv,16,64
Equipa O,1.0,2.0,2.0,minimuns_16teams_96emp.csv,16,64
Equipa P,1.0,2.0,2.0,minimuns_16teams_96emp.csv,16,64
