Code,ScheduleWeightMinutes,Description
1,0,Espaço
2,0,Folga Complementar
3,0,Day off
4,0,Vazio
1000,450,07:30-15:30 (12:00-12:30)
1001,450,13:00-21:00 (17:00-17:30)
1002,585,21:00-07:30 (02:00-02:45)
1003,570,07:30-17:30 (12:00-12:30)
1004,675,07:30-19:30 (12:00-12:45)
1005,570,11:00-21:00 (15:00-15:30)
1006,1440,07:30-07:30
1007,720,19:30-07:30
1008,720,00:00-12:00
1009,720,12:00-00:00
1010,450,00:00-07:30
1011,255,15:30-19:45
1012,255,19:45-00:00
1013,180,21:00-00:00
1014,480,08:00-16:00
1015,480,16:00-00:00
1016,480,00:00-08:00
1017,1440,08:00-08:00
1018,960,16:00-08:00
1019,480,08:00-17:00 (12:30-13:30)
1020,480,Flexible
10000,960,07:30-23:30
10001,780,10:00-23:00
10002,840,10:00-00:00
10003,1440,00:00-00:00
10004,1440,08:00-08:00
10005,810,08:30-22:00
10006,600,11:00-21:00
20001,300,19:00-00:00
89996,0,Work dynamic 4
89997,0,Work dynamic 3
89998,0,Work dynamic 2
89999,0,Work dynamic 1
90000,0,Transparente
100000,180,00:00-03:00
100001,195,00:00-03:15
100002,210,00:00-03:30
100003,225,00:00-03:45
100004,240,00:00-04:00
100005,255,00:00-04:15
100006,270,00:00-04:30
100007,285,00:00-04:45
100008,300,00:00-05:00
100009,315,00:00-05:15
100010,330,00:00-05:30
100011,345,00:00-05:45
100012,360,00:00-06:00
100013,360,00:00-06:30 (02:00-02:30)
100014,360,00:00-06:30 (02:15-02:45)
100015,360,00:00-06:30 (02:30-03:00)
100016,360,00:00-06:30 (02:45-03:15)
100017,360,00:00-06:30 (03:00-03:30)
100018,360,00:00-06:30 (03:15-03:45)
100019,360,00:00-06:30 (03:30-04:00)
100020,360,00:00-06:30 (03:45-04:15)
100021,360,00:00-06:30 (04:00-04:30)
100022,360,00:00-06:45 (02:00-02:45)
100023,360,00:00-06:45 (02:15-03:00)
100024,360,00:00-06:45 (02:30-03:15)
100025,360,00:00-06:45 (02:45-03:30)
100026,360,00:00-06:45 (03:00-03:45)
100027,360,00:00-06:45 (03:15-04:00)
100028,360,00:00-06:45 (03:30-04:15)
100029,360,00:00-06:45 (03:45-04:30)
100030,360,00:00-06:45 (04:00-04:45)
100031,360,00:00-07:00 (02:00-03:00)
100032,360,00:00-07:00 (02:15-03:15)
100033,360,00:00-07:00 (02:30-03:30)
100034,360,00:00-07:00 (02:45-03:45)
100035,360,00:00-07:00 (03:00-04:00)
100036,360,00:00-07:00 (03:15-04:15)
100037,360,00:00-07:00 (03:30-04:30)
100038,360,00:00-07:00 (03:45-04:45)
100039,360,00:00-07:00 (04:00-05:00)
100040,360,00:00-07:15 (02:00-03:15)
100041,360,00:00-07:15 (02:15-03:30)
100042,360,00:00-07:15 (02:30-03:45)
100043,360,00:00-07:15 (02:45-04:00)
100044,360,00:00-07:15 (03:00-04:15)
100045,360,00:00-07:15 (03:15-04:30)
100046,360,00:00-07:15 (03:30-04:45)
100047,360,00:00-07:15 (03:45-05:00)
100048,360,00:00-07:15 (04:00-05:15)
100049,360,00:00-07:30 (02:00-03:30)
100050,360,00:00-07:30 (02:15-03:45)
100051,360,00:00-07:30 (02:30-04:00)
100052,360,00:00-07:30 (02:45-04:15)
100053,360,00:00-07:30 (03:00-04:30)
100054,360,00:00-07:30 (03:15-04:45)
100055,360,00:00-07:30 (03:30-05:00)
100056,360,00:00-07:30 (03:45-05:15)
100057,360,00:00-07:30 (04:00-05:30)
100058,360,00:00-07:45 (02:00-03:45)
100059,360,00:00-07:45 (02:15-04:00)
100060,360,00:00-07:45 (02:30-04:15)
100061,360,00:00-07:45 (02:45-04:30)
100062,360,00:00-07:45 (03:00-04:45)
100063,360,00:00-07:45 (03:15-05:00)
100064,360,00:00-07:45 (03:30-05:15)
100065,360,00:00-07:45 (03:45-05:30)
100066,360,00:00-07:45 (04:00-05:45)
100067,360,00:00-08:00 (02:00-04:00)
100068,360,00:00-08:00 (02:15-04:15)
100069,360,00:00-08:00 (02:30-04:30)
100070,360,00:00-08:00 (02:45-04:45)
100071,360,00:00-08:00 (03:00-05:00)
100072,360,00:00-08:00 (03:15-05:15)
100073,360,00:00-08:00 (03:30-05:30)
100074,360,00:00-08:00 (03:45-05:45)
100075,360,00:00-08:00 (04:00-06:00)
100076,375,00:00-06:45 (02:00-02:30)
100077,375,00:00-06:45 (02:15-02:45)
100078,375,00:00-06:45 (02:30-03:00)
100079,375,00:00-06:45 (02:45-03:15)
100080,375,00:00-06:45 (03:00-03:30)
100081,375,00:00-06:45 (03:15-03:45)
100082,375,00:00-06:45 (03:30-04:00)
100083,375,00:00-06:45 (03:45-04:15)
100084,375,00:00-06:45 (04:00-04:30)
100085,375,00:00-06:45 (04:15-04:45)
100086,375,00:00-07:00 (02:00-02:45)
100087,375,00:00-07:00 (02:15-03:00)
100088,375,00:00-07:00 (02:30-03:15)
100089,375,00:00-07:00 (02:45-03:30)
100090,375,00:00-07:00 (03:00-03:45)
100091,375,00:00-07:00 (03:15-04:00)
100092,375,00:00-07:00 (03:30-04:15)
100093,375,00:00-07:00 (03:45-04:30)
100094,375,00:00-07:00 (04:00-04:45)
100095,375,00:00-07:00 (04:15-05:00)
100096,375,00:00-07:15 (02:00-03:00)
100097,375,00:00-07:15 (02:15-03:15)
100098,375,00:00-07:15 (02:30-03:30)
100099,375,00:00-07:15 (02:45-03:45)
100100,375,00:00-07:15 (03:00-04:00)
100101,375,00:00-07:15 (03:15-04:15)
100102,375,00:00-07:15 (03:30-04:30)
100103,375,00:00-07:15 (03:45-04:45)
100104,375,00:00-07:15 (04:00-05:00)
100105,375,00:00-07:15 (04:15-05:15)
100106,375,00:00-07:30 (02:00-03:15)
100107,375,00:00-07:30 (02:15-03:30)
100108,375,00:00-07:30 (02:30-03:45)
100109,375,00:00-07:30 (02:45-04:00)
100110,375,00:00-07:30 (03:00-04:15)
100111,375,00:00-07:30 (03:15-04:30)
100112,375,00:00-07:30 (03:30-04:45)
100113,375,00:00-07:30 (03:45-05:00)
100114,375,00:00-07:30 (04:00-05:15)
100115,375,00:00-07:30 (04:15-05:30)
100116,375,00:00-07:45 (02:00-03:30)
100117,375,00:00-07:45 (02:15-03:45)
100118,375,00:00-07:45 (02:30-04:00)
100119,375,00:00-07:45 (02:45-04:15)
100120,375,00:00-07:45 (03:00-04:30)
100121,375,00:00-07:45 (03:15-04:45)
100122,375,00:00-07:45 (03:30-05:00)
100123,375,00:00-07:45 (03:45-05:15)
100124,375,00:00-07:45 (04:00-05:30)
100125,375,00:00-07:45 (04:15-05:45)
100126,375,00:00-08:00 (02:00-03:45)
100127,375,00:00-08:00 (02:15-04:00)
100128,375,00:00-08:00 (02:30-04:15)
100129,375,00:00-08:00 (02:45-04:30)
100130,375,00:00-08:00 (03:00-04:45)
100131,375,00:00-08:00 (03:15-05:00)
100132,375,00:00-08:00 (03:30-05:15)
100133,375,00:00-08:00 (03:45-05:30)
100134,375,00:00-08:00 (04:00-05:45)
100135,375,00:00-08:00 (04:15-06:00)
100136,375,00:00-08:15 (02:00-04:00)
100137,375,00:00-08:15 (02:15-04:15)
100138,375,00:00-08:15 (02:30-04:30)
100139,375,00:00-08:15 (02:45-04:45)
100140,375,00:00-08:15 (03:00-05:00)
100141,375,00:00-08:15 (03:15-05:15)
100142,375,00:00-08:15 (03:30-05:30)
100143,375,00:00-08:15 (03:45-05:45)
100144,375,00:00-08:15 (04:00-06:00)
100145,375,00:00-08:15 (04:15-06:15)
100146,390,00:00-07:00 (02:00-02:30)
100147,390,00:00-07:00 (02:15-02:45)
100148,390,00:00-07:00 (02:30-03:00)
100149,390,00:00-07:00 (02:45-03:15)
100150,390,00:00-07:00 (03:00-03:30)
100151,390,00:00-07:00 (03:15-03:45)
100152,390,00:00-07:00 (03:30-04:00)
100153,390,00:00-07:00 (03:45-04:15)
100154,390,00:00-07:00 (04:00-04:30)
100155,390,00:00-07:00 (04:15-04:45)
100156,390,00:00-07:00 (04:30-05:00)
100157,390,00:00-07:15 (02:00-02:45)
100158,390,00:00-07:15 (02:15-03:00)
100159,390,00:00-07:15 (02:30-03:15)
100160,390,00:00-07:15 (02:45-03:30)
100161,390,00:00-07:15 (03:00-03:45)
100162,390,00:00-07:15 (03:15-04:00)
100163,390,00:00-07:15 (03:30-04:15)
100164,390,00:00-07:15 (03:45-04:30)
100165,390,00:00-07:15 (04:00-04:45)
100166,390,00:00-07:15 (04:15-05:00)
100167,390,00:00-07:15 (04:30-05:15)
100168,390,00:00-07:30 (02:00-03:00)
100169,390,00:00-07:30 (02:15-03:15)
100170,390,00:00-07:30 (02:30-03:30)
100171,390,00:00-07:30 (02:45-03:45)
100172,390,00:00-07:30 (03:00-04:00)
100173,390,00:00-07:30 (03:15-04:15)
100174,390,00:00-07:30 (03:30-04:30)
100175,390,00:00-07:30 (03:45-04:45)
100176,390,00:00-07:30 (04:00-05:00)
100177,390,00:00-07:30 (04:15-05:15)
100178,390,00:00-07:30 (04:30-05:30)
100179,390,00:00-07:45 (02:00-03:15)
100180,390,00:00-07:45 (02:15-03:30)
100181,390,00:00-07:45 (02:30-03:45)
100182,390,00:00-07:45 (02:45-04:00)
100183,390,00:00-07:45 (03:00-04:15)
100184,390,00:00-07:45 (03:15-04:30)
100185,390,00:00-07:45 (03:30-04:45)
100186,390,00:00-07:45 (03:45-05:00)
100187,390,00:00-07:45 (04:00-05:15)
100188,390,00:00-07:45 (04:15-05:30)
100189,390,00:00-07:45 (04:30-05:45)
100190,390,00:00-08:00 (02:00-03:30)
100191,390,00:00-08:00 (02:15-03:45)
100192,390,00:00-08:00 (02:30-04:00)
100193,390,00:00-08:00 (02:45-04:15)
100194,390,00:00-08:00 (03:00-04:30)
100195,390,00:00-08:00 (03:15-04:45)
100196,390,00:00-08:00 (03:30-05:00)
100197,390,00:00-08:00 (03:45-05:15)
100198,390,00:00-08:00 (04:00-05:30)
100199,390,00:00-08:00 (04:15-05:45)
100200,390,00:00-08:00 (04:30-06:00)
100201,390,00:00-08:15 (02:00-03:45)
100202,390,00:00-08:15 (02:15-04:00)
100203,390,00:00-08:15 (02:30-04:15)
100204,390,00:00-08:15 (02:45-04:30)
100205,390,00:00-08:15 (03:00-04:45)
100206,390,00:00-08:15 (03:15-05:00)
100207,390,00:00-08:15 (03:30-05:15)
100208,390,00:00-08:15 (03:45-05:30)
100209,390,00:00-08:15 (04:00-05:45)
100210,390,00:00-08:15 (04:15-06:00)
100211,390,00:00-08:15 (04:30-06:15)
100212,390,00:00-08:30 (02:00-04:00)
100213,390,00:00-08:30 (02:15-04:15)
100214,390,00:00-08:30 (02:30-04:30)
100215,390,00:00-08:30 (02:45-04:45)
100216,390,00:00-08:30 (03:00-05:00)
100217,390,00:00-08:30 (03:15-05:15)
100218,390,00:00-08:30 (03:30-05:30)
100219,390,00:00-08:30 (03:45-05:45)
100220,390,00:00-08:30 (04:00-06:00)
100221,390,00:00-08:30 (04:15-06:15)
100222,390,00:00-08:30 (04:30-06:30)
100223,405,00:00-07:15 (02:00-02:30)
100224,405,00:00-07:15 (02:15-02:45)
100225,405,00:00-07:15 (02:30-03:00)
100226,405,00:00-07:15 (02:45-03:15)
100227,405,00:00-07:15 (03:00-03:30)
100228,405,00:00-07:15 (03:15-03:45)
100229,405,00:00-07:15 (03:30-04:00)
100230,405,00:00-07:15 (03:45-04:15)
100231,405,00:00-07:15 (04:00-04:30)
100232,405,00:00-07:15 (04:15-04:45)
100233,405,00:00-07:15 (04:30-05:00)
100234,405,00:00-07:15 (04:45-05:15)
100235,405,00:00-07:30 (02:00-02:45)
100236,405,00:00-07:30 (02:15-03:00)
100237,405,00:00-07:30 (02:30-03:15)
100238,405,00:00-07:30 (02:45-03:30)
100239,405,00:00-07:30 (03:00-03:45)
100240,405,00:00-07:30 (03:15-04:00)
100241,405,00:00-07:30 (03:30-04:15)
