RosterCode,Date,StartDate,EndDate,Tickets,TicketsPrev,Persons
10,2021-11-01 00:00:00.000,2021-11-01 09:00:00.000,2021-11-01 10:00:00.000,32,55,2
10,2021-11-01 00:00:00.000,2021-11-01 10:00:00.000,2021-11-01 11:00:00.000,57,69,3
10,2021-11-01 00:00:00.000,2021-11-01 11:00:00.000,2021-11-01 12:00:00.000,87,112,4
10,2021-11-01 00:00:00.000,2021-11-01 12:00:00.000,2021-11-01 13:00:00.000,97,118,4
10,2021-11-01 00:00:00.000,2021-11-01 13:00:00.000,2021-11-01 14:00:00.000,100,130,4
10,2021-11-01 00:00:00.000,2021-11-01 14:00:00.000,2021-11-01 15:00:00.000,28,93,3
10,2021-11-02 00:00:00.000,2021-11-02 09:00:00.000,2021-11-02 10:00:00.000,93,69,3
10,2021-11-02 00:00:00.000,2021-11-02 10:00:00.000,2021-11-02 11:00:00.000,120,90,4
10,2021-11-02 00:00:00.000,2021-11-02 11:00:00.000,2021-11-02 12:00:00.000,142,129,4
10,2021-11-02 00:00:00.000,2021-11-02 12:00:00.000,2021-11-02 13:00:00.000,185,132,4
10,2021-11-02 00:00:00.000,2021-11-02 13:00:00.000,2021-11-02 14:00:00.000,197,142,4
10,2021-11-02 00:00:00.000,2021-11-02 14:00:00.000,2021-11-02 15:00:00.000,135,120,4
10,2021-11-02 00:00:00.000,2021-11-02 15:00:00.000,2021-11-02 16:00:00.000,60,67,3
10,2021-11-02 00:00:00.000,2021-11-02 16:00:00.000,2021-11-02 17:00:00.000,35,52,3
10,2021-11-02 00:00:00.000,2021-11-02 17:00:00.000,2021-11-02 18:00:00.000,60,54,3
10,2021-11-02 00:00:00.000,2021-11-02 18:00:00.000,2021-11-02 19:00:00.000,85,81,4
10,2021-11-02 00:00:00.000,2021-11-02 19:00:00.000,2021-11-02 20:00:00.000,108,111,4
10,2021-11-02 00:00:00.000,2021-11-02 20:00:00.000,2021-11-02 21:00:00.000,107,108,4
10,2021-11-02 00:00:00.000,2021-11-02 21:00:00.000,2021-11-02 22:00:00.000,29,39,3
10,2021-11-03 00:00:00.000,2021-11-03 09:00:00.000,2021-11-03 10:00:00.000,96,77,3
10,2021-11-03 00:00:00.000,2021-11-03 10:00:00.000,2021-11-03 11:00:00.000,77,93,4
10,2021-11-03 00:00:00.000,2021-11-03 11:00:00.000,2021-11-03 12:00:00.000,159,133,4
10,2021-11-03 00:00:00.000,2021-11-03 12:00:00.000,2021-11-03 13:00:00.000,123,131,4
10,2021-11-03 00:00:00.000,2021-11-03 13:00:00.000,2021-11-03 14:00:00.000,152,155,4
10,2021-11-03 00:00:00.000,2021-11-03 14:00:00.000,2021-11-03 15:00:00.000,112,119,4
10,2021-11-03 00:00:00.000,2021-11-03 15:00:00.000,2021-11-03 16:00:00.000,64,73,3
10,2021-11-03 00:00:00.000,2021-11-03 16:00:00.000,2021-11-03 17:00:00.000,66,53,2
10,2021-11-03 00:00:00.000,2021-11-03 17:00:00.000,2021-11-03 18:00:00.000,68,57,3
10,2021-11-03 00:00:00.000,2021-11-03 18:00:00.000,2021-11-03 19:00:00.000,74,89,4
10,2021-11-03 00:00:00.000,2021-11-03 19:00:00.000,2021-11-03 20:00:00.000,116,111,4
10,2021-11-03 00:00:00.000,2021-11-03 20:00:00.000,2021-11-03 21:00:00.000,104,97,4
10,2021-11-03 00:00:00.000,2021-11-03 21:00:00.000,2021-11-03 22:00:00.000,26,31,2
10,2021-11-04 00:00:00.000,2021-11-04 09:00:00.000,2021-11-04 10:00:00.000,96,67,3
10,2021-11-04 00:00:00.000,2021-11-04 10:00:00.000,2021-11-04 11:00:00.000,84,80,4
10,2021-11-04 00:00:00.000,2021-11-04 11:00:00.000,2021-11-04 12:00:00.000,158,124,4
10,2021-11-04 00:00:00.000,2021-11-04 12:00:00.000,2021-11-04 13:00:00.000,162,124,4
10,2021-11-04 00:00:00.000,2021-11-04 13:00:00.000,2021-11-04 14:00:00.000,163,134,4
10,2021-11-04 00:00:00.000,2021-11-04 14:00:00.000,2021-11-04 15:00:00.000,152,115,4
10,2021-11-04 00:00:00.000,2021-11-04 15:00:00.000,2021-11-04 16:00:00.000,76,64,2
10,2021-11-04 00:00:00.000,2021-11-04 16:00:00.000,2021-11-04 17:00:00.000,43,49,2
10,2021-11-04 00:00:00.000,2021-11-04 17:00:00.000,2021-11-04 18:00:00.000,77,60,3
10,2021-11-04 00:00:00.000,2021-11-04 18:00:00.000,2021-11-04 19:00:00.000,82,77,4
10,2021-11-04 00:00:00.000,2021-11-04 19:00:00.000,2021-11-04 20:00:00.000,100,103,4
10,2021-11-04 00:00:00.000,2021-11-04 20:00:00.000,2021-11-04 21:00:00.000,86,110,4
10,2021-11-04 00:00:00.000,2021-11-04 21:00:00.000,2021-11-04 22:00:00.000,38,29,2
10,2021-11-05 00:00:00.000,2021-11-05 09:00:00.000,2021-11-05 10:00:00.000,78,50,2
10,2021-11-05 00:00:00.000,2021-11-05 10:00:00.000,2021-11-05 11:00:00.000,116,68,3
10,2021-11-05 00:00:00.000,2021-11-05 11:00:00.000,2021-11-05 12:00:00.000,163,102,4
10,2021-11-05 00:00:00.000,2021-11-05 12:00:00.000,2021-11-05 13:00:00.000,178,115,4
10,2021-11-05 00:00:00.000,2021-11-05 13:00:00.000,2021-11-05 14:00:00.000,145,124,4
